5, 1808, 688, 14968, -185, 30, -53
17, 1828, 652, 15012, -122, -238, -214
30, 1528, 780, 14920, -169, -552, -334
69, 1092, 996, 15876, 86, -205, -305
109, 1612, 808, 15188, 21, -105, -118
149, 1440, 816, 15456, 220, -400, -135
191, 1468, 704, 14876, 185, -56, -145
232, 1552, 680, 14920, -50, -116, -198
273, 1032, 832, 15616, 338, -741, -288
315, 1504, 668, 15112, 386, 139, -278
355, 824, 764, 15072, 236, -832, -151
396, 1592, 680, 15172, 58, 53, 117
434, 1824, 684, 14992, 241, -828, -216
475, 1532, 760, 15008, 33, -51, -43
514, 1636, 632, 15240, -24, -278, -337
555, 1064, 740, 15024, -163, -245, -203
598, 1808, 736, 15392, -118, 42, -242
638, 1316, 736, 15376, 537, -301, -267
679, 1180, 620, 15132, 174, -45, -218
720, 1284, 872, 15128, 336, -232, -176
762, 1320, 788, 14988, 325, -308, -60
802, 1396, 752, 14784, 40, -91, -31
841, 1484, 808, 15604, 658, -586, -232
882, 1160, 1028, 14428, 131, -217, -79
924, 1528, 804, 15488, 413, -182, -188
966, 1512, 768, 15032, 168, -221, -176
1007, 1352, 752, 14836, 440, -406, -131
1050, 1196, 716, 15152, 539, -9, -261
1091, 912, 632, 14700, 289, -191, -371
1132, 760, 696, 14904, -152, 138, -100
1174, 1420, 708, 15484, -493, 1110, 267
1216, 1504, 1008, 15648, 197, -813, 510
1259, 1744, 860, 15768, -157, -587, 26
1301, 1868, 932, 15784, 458, -731, -435
1343, 1420, 744, 14496, 470, -334, -478
1386, 1264, 788, 15204, 28, -348, -751
1428, 856, 644, 15032, 60, -291, -624
1468, 1080, 488, 15980, 595, 817, -579
1510, 908, 304, 14284, 29, -1165, -241
1551, 1424, 908, 15580, 417, 135, -415
1593, 1332, 564, 14724, 452, 44, -447
1634, 960, 1144, 14768, 268, -319, -446
1676, 908, 820, 15008, 218, 188, -469
1717, 744, 896, 14628, 387, -863, 185
1758, 1060, 680, 15148, -95, -522, -43
1799, 1084, 668, 15068, 641, -219, 320
1841, 1488, 976, 15524, -179, -365, 118
1883, 1860, 652, 14988, 126, -430, 125
1925, 1520, 852, 15528, 256, 108, 26
1965, 1316, 652, 14728, 173, -610, -187
2007, 1532, 800, 14604, 202, -44, -40
2048, 1324, 600, 14680, -210, -650, -470
2092, 1236, 884, 15680, 29, 227, -357
2131, 1016, 732, 15304, -103, -391, -290
2176, 864, 816, 15764, 275, -51, 77
2213, 1448, 724, 15272, 499, -93, 61
2253, 1344, 576, 14800, 88, -464, -66
2294, 1204, 888, 15592, 621, -18, -107
2335, 1272, 668, 14360, 338, -345, -47
2377, 1488, 740, 15200, -159, -399, -314
2420, 1276, 816, 15236, 302, -27, -245
2462, 1148, 816, 14912, 286, -448, -249
2505, 1016, 780, 15192, 164, -89, -115
2546, 1020, 844, 14804, 604, -559, 52
2587, 1412, 656, 14280, 103, 441, 178
2628, 1644, 464, 15556, -325, -578, -155
2671, 1164, 756, 15424, 353, -299, -64
2713, 996, 784, 15084, 7, -310, -242
2752, 1124, 648, 14944, 46, -55, 55
2791, 1240, 568, 15436, 186, -137, -15
2833, 872, 724, 15180, 293, -337, 63
2872, 1240, 736, 15284, 435, -34, 131
2913, 1360, 676, 14632, 310, -455, 24
2953, 1524, 784, 15012, -125, 91, -6
2993, 1352, 832, 15220, 322, -95, -62
3034, 1120, 704, 14724, 422, -209, -174
3076, 1432, 792, 15000, 151, -295, -223
3119, 1100, 868, 14840, 175, -167, -120
3162, 1432, 668, 15268, -14, -159, -318
3204, 1140, 760, 14940, 296, -294, -302
3247, 1052, 708, 15284, 415, -151, -218
3290, 944, 780, 14428, 125, -557, -63
3330, 1216, 788, 15536, 121, -106, -85
3372, 1348, 544, 14852, 227, -263, -264
3414, 1020, 852, 15228, -13, -344, -60
3456, 908, 808, 14952, 248, -768, 242
3496, 784, 900, 13716, 37, -968, 739
3535, 3352, 852, 13872, -1285, -643, 748
3579, 6356, 1004, 14968, -1171, -763, -510
3625, 3436, 364, 16144, -1025, -3002, -37
3670, 4868, 648, 16632, -1581, -191, -3413
3716, 5872, 400, 16088, -108, -1175, -3611
3762, 5944, -600, 16192, -2691, -3643, -7641
3809, 4432, -832, 19528, -573, 493, -9270
3854, 4664, -916, 20712, 1060, -5358, -10908
3902, -1164, 616, 19608, 2874, -102, -9192
3947, -72, 92, 19852, 5492, -1180, -8760
3991, -2004, 1024, 13788, 6984, 853, -7478
4037, 468, 1116, 14988, 8059, 6050, -6084
4081, -1880, 1772, 12096, 5602, 408, -4872
4127, -3812, 1792, 13300, 6218, 2997, -3159
4174, -4932, 1888, 12088, 4217, 3406, 471
4219, -6928, 1776, 13452, 4085, 4185, 4502
4264, -4216, 1704, 12920, 4815, 2293, 6822
4311, -6484, 2456, 11868, 4044, 1130, 9761
4357, -2676, 2408, 11912, 4586, 2778, 11962
4403, -1812, 2752, 7428, 3937, -202, 10480
4449, 1216, 2456, 6992, -564, 2272, 14050
4494, 3016, 2916, 7208, -2661, 2557, 12016
4539, 6992, 2260, 9020, -6664, 2567, 10122
4585, 9344, 2124, 10064, -7941, 4052, 6418
4631, 10256, 1500, 14700, -10636, 3063, 2240
4678, 8056, 2196, 20988, -8288, -292, 637
4723, 4728, 2752, 20560, -3209, -3152, 932
4769, 7580, 1932, 16260, -3695, -1875, -17
4814, 6008, 1860, 18188, -2563, -1824, -2845
4862, 3876, 2148, 18528, -2193, -694, -2721
4910, 3048, 1160, 18348, -1018, -1861, -4698
4958, 1880, 1788, 17980, 914, -1708, -2644
5003, 1460, 948, 16784, 384, -1208, -3654
5048, 540, 1268, 16736, 732, -537, -3107
5092, 140, 960, 16868, 2325, 1253, -3003
5135, 172, 1032, 14368, 2053, -907, -2352
5180, 220, 1580, 14768, 1117, -967, -2488
5225, 500, 1352, 14792, 982, 952, -2208
5267, 348, 1684, 14752, 619, -3, -1442
5309, 616, 1560, 14556, 780, 418, -989
5351, 560, 1728, 14484, 1168, 431, -649
5393, 376, 1868, 13444, -156, -790, -87
5436, 1504, 1824, 14868, -1167, 154, 238
5479, 2440, 1644, 15600, 333, -251, 244
5522, 1700, 1884, 14836, 75, -339, 704
5564, 2360, 1960, 14748, 115, -605, 196
5606, 2176, 1744, 14924, -116, -100, -462
5651, 1728, 1780, 15444, -29, -140, -38
5694, 1676, 1808, 15396, 201, -450, -55
