5, 1096, 1804, 15012, 211, -247, -145
18, 1056, 1864, 14832, 166, -282, -194
31, 936, 1804, 15056, 183, -317, -162
71, 892, 1860, 15180, 413, -413, -6
110, 932, 1916, 14784, 130, -261, -6
149, 1156, 1988, 15224, 352, -528, -124
192, 1200, 1696, 14476, 13, -124, -97
233, 1340, 1980, 15580, 325, -391, -135
275, 1100, 1904, 14560, 331, -271, -128
318, 1152, 1776, 14776, 218, -506, -70
360, 1244, 1848, 15040, 226, -189, -172
402, 1172, 1884, 14660, 141, -332, -155
445, 1072, 1796, 15052, 104, -260, -187
487, 832, 1732, 14960, 167, -175, -147
529, 1216, 2068, 15232, 8, -239, 3
567, 1128, 1776, 14944, 239, -114, -59
608, 1276, 1936, 15040, 181, -367, -155
651, 800, 1996, 14980, 296, -459, -31
692, 960, 1860, 15064, 217, -247, -58
732, 1212, 1784, 14988, 270, -334, -62
774, 1244, 1832, 14628, 284, -263, -34
815, 1264, 1936, 15072, 306, -396, -155
858, 1176, 1912, 14784, 233, -178, -192
901, 1460, 1828, 14936, 124, 82, -168
941, 1444, 1892, 14804, 286, -533, -191
984, 1368, 1828, 14784, 268, -465, -380
1027, 1100, 1944, 14912, 132, -150, -296
1070, 1016, 1772, 15164, 180, -110, -223
1114, 976, 1988, 15188, -18, -274, -108
1156, 1192, 1932, 14660, 247, -141, -42
1199, 1072, 1884, 15156, 341, -334, -113
1243, 1320, 1744, 14944, 422, -36, -25
1284, 1520, 1848, 14948, 409, -607, -96
1327, 1076, 1968, 14640, 31, 33, -106
1368, 1208, 1808, 14432, 220, -436, -91
1410, 1392, 1848, 15252, 157, -180, -226
1454, 1216, 1916, 15008, 64, -313, -178
1497, 1232, 1860, 14640, 270, -358, -182
1540, 1232, 1980, 15388, 191, -242, -308
1584, 1084, 1820, 14564, 80, -247, -178
1627, 1124, 1856, 15180, 198, -496, -236
1670, 1084, 1724, 14828, 281, -245, -239
1714, 1040, 1832, 15000, -29, -391, -108
1758, 1100, 1736, 15140, 381, 15, -233
1799, 1076, 1940, 14480, -25, -530, -160
1843, 1200, 1776, 14932, 133, -69, -43
1884, 1332, 1900, 15216, 164, -344, -47
1927, 1328, 1900, 15044, 499, -110, -129
1971, 1452, 1752, 14588, 131, -315, -250
2014, 1256, 1992, 14992, 236, -215, -292
2058, 1220, 1972, 15132, -81, -127, -333
2102, 1076, 1564, 15000, 865, -702, 160
2144, 1608, 1836, 14972, -92, -388, -231
2188, 1268, 1820, 15296, 121, -445, -329
2232, 1072, 1912, 15224, 189, -396, -111
2275, 1300, 1904, 15200, 410, -233, -153
2319, 1316, 1876, 14640, 114, -330, -98
2362, 1556, 1832, 15108, 213, -147, -291
2405, 1180, 1812, 14932, -72, -344, -288
2449, 1068, 1860, 15248, 266, -194, -311
2493, 1100, 2064, 15332, 192, -250, -43
2535, 1508, 1740, 15016, 440, -240, -53
2578, 1548, 1788, 15152, 169, -257, -98
2620, 1336, 1748, 14532, 128, -1, -212
2662, 1000, 1924, 15336, 210, -402, -62
2705, 1028, 1804, 14788, 56, -271, -97
2746, 1420, 1932, 15464, 414, -274, -200
2790, 1144, 1848, 14676, 65, 30, -205
2831, 1308, 1848, 15172, 4, -335, -134
2872, 1320, 1684, 14868, 487, -217, -189
2916, 1132, 1980, 15056, 41, -386, -202
2959, 980, 1948, 14932, 260, -195, -123
3001, 1456, 1780, 14788, 92, -464, -253
3044, 1352, 1824, 15312, -7, 81, -282
3084, 1180, 1824, 15024, 197, -523, -154
3128, 840, 1884, 15060, 177, -53, -39
3169, 1332, 1836, 15668, 162, -346, -96
3211, 1372, 1800, 14748, 361, -24, -194
3254, 1244, 1796, 15152, 160, -431, -253
3298, 1148, 1792, 14648, 237, -25, -219
3340, 1256, 1940, 14864, 52, -364, -152
3383, 1040, 1788, 15232, 187, -82, -109
3426, 1220, 1796, 15508, 541, -603, -157
3469, 804, 1792, 14772, 409, 31, -83
3509, 1204, 1956, 14632, 325, -357, 83
3550, 1376, 1792, 15132, 234, -173, -200
3594, 1316, 1792, 14328, 115, -270, -219
3638, 1100, 1908, 15428, 345, -495, -196
3681, 1280, 1756, 14588, -165, -190, -272
3726, 1036, 1796, 15156, 117, -404, -300
3770, 1088, 1844, 14620, 5, -333, -170
3811, 1188, 1820, 15776, 316, -261, -54
3854, 1200, 1788, 14636, 171, -459, -14
3897, 1212, 1864, 15248, 16, -217, -191
3939, 1316, 1772, 14824, 269, -134, -149
3983, 1448, 1760, 15080, 96, -333, -123
4026, 1228, 1724, 14880, 246, -437, -129
4069, 1328, 1800, 14768, 240, -216, -124
4113, 1164, 1788, 14844, 101, -246, -128
4157, 1424, 1716, 15168, 326, -275, -155
4200, 996, 1764, 14928, 70, -216, -105
4242, 1188, 1820, 15040, 52, -381, -85
4283, 1144, 1772, 14948, 76, -183, -82
4325, 1908, 1484, 15188, 193, -213, -207
4369, 3524, 1544, 15216, -110, -532, -212
4413, 6260, 1880, 17168, 301, -1304, -1452
4459, 5232, 1612, 15924, 703, -1165, -4627
4505, 5100, 1960, 17140, 206, -1536, -5607
4550, 1608, 1804, 18840, 3006, -3606, -6155
4597, 3296, 1596, 17776, 2532, -5837, -6419
4644, 68, 1932, 18088, 5837, -4847, -4366
4689, 5168, 2708, 12896, 8353, -9457, -3398
4736, -5776, 7280, 18976, 5635, -3367, -5358
4784, -884, 2760, 12824, 1917, -2312, -2964
4831, -3016, 4780, 13832, 3223, 87, -1790
4875, -3712, 3792, 12744, 1851, 1171, 384
4920, -1856, 5464, 14764, 2098, 994, 2659
4965, -828, 4720, 13104, 3144, 1218, 3784
5009, 1908, 4600, 17576, 922, 5225, 4626
5053, 196, 4880, 13688, 3685, 2453, 5667
5097, -1968, 4364, 10296, 15, 2792, 7164
5140, 2032, 3468, 10256, 140, 5768, 7413
5184, 2176, 2740, 8688, -1878, 2104, 8218
5229, 4200, 2508, 12372, -4734, 4811, 7191
5274, 5492, 2484, 12028, -3977, 1483, 6221
5320, 4464, 2228, 13144, -5667, 1252, 5396
5366, 6036, 2112, 14724, -4383, 2096, 3114
5411, 2980, 2436, 12980, -4991, 1222, 12
5455, 2732, 2040, 18616, -4432, 663, 1874
5500, 5356, 1144, 18348, -2034, -4059, 1556
5547, 4012, 824, 15428, -3330, 6, -59
5587, 5540, 1420, 17416, -1717, -1370, -532
5635, 5680, -272, 15452, -1432, -74, -1996
5680, 3196, 1480, 19840, -1760, 870, -2478
5726, 3392, 940, 14960, 1021, -1244, -2456
5772, 4664, 1060, 16544, 314, 1384, -4240
5817, 2504, 856, 16564, 1303, -455, -4761
