time,ax,ay,az,gx,gy,gz,target
17,1748,420,15020,141,-366,-257,rest
30,1744,344,15080,191,-318,-199,rest
69,1780,392,14900,188,-161,-139,rest
110,1732,352,14864,247,-277,-112,rest
151,1860,516,15232,255,-283,-162,rest
193,1660,556,15136,257,-219,-123,rest
235,1712,340,15128,219,-289,-159,rest
276,1684,284,14956,110,-250,-257,rest
318,1700,388,15012,198,-410,-181,rest
360,1744,440,14868,214,-116,-127,rest
401,1700,420,15248,164,-504,-195,rest
443,1708,356,15064,158,-127,-96,rest
483,1612,260,14980,283,-285,-120,rest
525,1724,356,15004,220,-180,-57,rest
566,1744,448,15112,218,-352,-302,rest
607,1680,452,15168,176,-358,-32,rest
648,1748,424,15180,169,-260,-266,rest
689,1908,432,15044,110,-311,-250,rest
731,1740,464,14876,211,-93,-47,rest
771,1672,464,15172,228,-222,-195,rest
812,1564,416,14976,282,-168,-236,rest
854,1808,416,15096,340,-240,-204,rest
896,1744,380,15004,272,-50,-218,rest
935,1872,452,15128,257,-141,-123,rest
977,1568,324,15128,84,-130,-170,rest
1017,1692,424,14920,235,-155,-161,rest
1060,1576,452,14884,287,-81,-105,rest
1102,1688,492,15136,338,-336,-147,rest
1144,1596,312,15164,268,-100,-107,rest
1187,1648,508,15080,222,-129,-68,rest
1229,1672,540,14972,262,-141,-101,rest
1271,1628,468,14988,227,-153,-113,rest
1314,1724,332,14956,223,-53,-31,rest
1354,1660,524,15020,143,-136,63,rest
1395,1552,392,15124,257,280,36,rest
1435,1400,528,14924,296,176,-214,rest
1476,1532,420,15040,343,39,-160,rest
1517,1440,412,15136,301,-173,-147,rest
1560,1492,444,15028,279,-158,-62,rest
1601,1436,452,15044,136,-265,-165,rest
1644,1308,476,15088,156,-212,-115,rest
1686,1376,456,14920,166,-288,-121,rest
1729,1364,568,15248,291,-76,35,rest
1769,1412,456,14856,279,-215,-181,rest
1811,1484,404,15080,266,-182,-162,rest
1854,1476,420,15036,186,-278,-126,rest
1897,1440,540,14956,168,-231,-65,rest
1938,1336,476,14956,241,-14,-129,rest
1980,1304,464,15112,171,-343,-329,rest
2023,1416,572,15024,168,-114,-157,rest
2065,1484,492,14948,185,-315,-189,rest
2108,1516,600,15020,211,-146,-90,rest
2149,1424,512,14960,127,-219,-244,rest
2192,1364,508,15004,85,-358,-84,rest
2233,1268,452,15080,224,-370,-107,rest
2275,1352,408,15064,136,-216,-244,rest
2318,1456,528,15008,298,0,-295,rest
2358,1488,564,14828,174,-454,-192,rest
2400,1520,648,14804,355,-138,-201,rest
2443,1448,588,14972,198,-299,-112,rest
2485,1492,368,15004,247,-328,-145,rest
2528,1480,500,15000,220,-288,16,rest
2569,1340,640,14992,263,-215,-126,rest
2611,1384,480,15104,166,-305,-306,rest
2654,1424,484,15000,110,-201,-277,rest
2697,1564,524,14960,142,-299,-177,rest
2739,1588,536,14820,238,-169,-42,rest
2781,1428,456,15108,252,-323,-159,rest
2824,1392,632,15216,272,-224,-195,rest
2866,1388,484,15016,98,-346,-227,rest
2908,1516,540,15004,199,-136,-231,rest
2950,1532,512,15024,160,-300,-234,rest
2993,1400,456,14904,188,-291,-202,rest
3036,1508,644,15008,305,-254,-252,rest
3078,1276,444,15056,205,-339,-294,rest
3121,1404,612,15148,216,-270,-210,rest
3164,1488,568,14844,242,-380,-153,rest
3206,1332,448,15260,283,-366,-87,rest
3248,1384,680,15000,164,-451,-105,rest
3291,1416,560,14860,290,-76,-162,rest
3332,1512,576,15076,168,-293,-56,circ
3374,1900,772,14652,230,-140,67,circ
3414,1984,472,14304,-171,474,628,circ
3456,1896,484,14292,460,742,1719,circ
3497,1912,1016,14596,320,943,2323,circ
3539,1912,1120,14968,462,1549,3091,circ
3584,2024,1148,15184,-315,1559,4238,circ
3629,1856,1428,14876,-1122,2575,7990,circ
3674,1072,432,15260,-171,2328,8712,circ
3718,-524,-136,15264,577,-279,11433,circ
3763,-72,-56,16656,-755,-7121,12391,circ
3807,1196,-552,18372,-1488,-10291,12098,circ
3856,388,-268,16240,-4405,3122,15771,circ
3902,-864,240,16180,-5695,1568,11464,circ
3947,-1104,-608,16088,-6290,725,6480,circ
3993,-284,-1408,15500,-5371,1323,689,circ
4039,-616,-2280,15232,-5777,529,-1788,circ
4086,-608,-2632,15080,-6309,980,-3879,circ
4132,-692,-2968,14788,-6590,2212,-5182,circ
4180,-384,-3460,13204,-6966,10553,-6564,circ
4230,-1604,-4188,13504,-7190,16462,-9516,circ
4279,-1220,-5092,12764,-3668,1722,-10452,circ
4329,-56,-5508,12136,-2351,478,-11632,circ
4376,972,-5588,12124,-302,1006,-11254,circ
4423,1444,-5208,11440,2612,2665,-10104,circ
4470,2276,-4760,11976,5710,1751,-10465,circ
4518,1920,-3844,12444,6268,2960,-7389,circ
4566,2436,-3356,11524,6164,2297,-6797,circ
4612,3400,-3576,14668,5808,-584,-3888,circ
4659,1784,-4184,14524,9234,535,-4953,circ
4705,1360,-4004,13496,7182,-1090,-3527,circ
4753,1924,-2968,15024,6578,-441,-3575,circ
4799,396,-2404,14704,7239,-117,-1863,circ
4845,1932,-2012,15520,5450,-316,-1473,circ
4892,684,-1432,15612,4455,116,-490,circ
4935,2200,-844,16312,1347,-2235,2143,circ
