time,ax,ay,az,gx,gy,gz,target
5,2108,2004,15092,118,-315,-215,rest
18,2408,1784,15300,149,-558,-208,rest
31,2444,1948,15412,203,-762,-285,rest
72,2056,2016,14428,269,-278,-274,rest
114,2488,1832,14948,197,-124,-18,rest
155,2264,2120,14796,129,-198,-288,rest
198,2340,2016,14900,244,-47,-216,rest
240,2448,1996,15088,370,-305,-292,rest
282,2248,2128,14980,359,-286,-526,rest
325,2372,1924,14980,250,-393,-245,rest
368,2100,2140,14792,-61,-189,-378,rest
410,2012,2164,15212,63,-91,-222,rest
451,2200,2116,15304,164,-241,-143,rest
494,2572,1792,15180,353,-474,-305,rest
536,2360,2108,15012,360,-261,-217,rest
579,2444,1860,14732,324,-499,-404,rest
621,2048,1984,14496,-74,-130,-437,rest
664,2032,2008,14840,-134,154,-278,rest
707,2056,1916,15360,195,-371,-190,rest
749,2140,2000,14928,195,-217,-12,rest
791,2416,1956,15224,357,-548,44,rest
832,2572,1864,14696,208,-136,-211,rest
874,2360,2120,15216,334,-655,-132,rest
917,2440,1996,15080,226,-132,-315,rest
960,2272,2016,14956,450,-495,-100,rest
1002,2364,2076,14888,193,-215,-242,rest
1046,2432,1952,14568,185,-502,-399,rest
1089,2292,1996,14928,-28,-59,-298,rest
1132,2224,2192,14908,105,-603,-52,rest
1175,2456,1740,14784,-71,-86,-175,rest
1217,2372,2048,15324,172,-619,0,rest
1258,2660,1728,14844,51,-145,-282,rest
1301,2176,2144,15444,131,-274,-381,rest
1344,2284,2092,14900,199,-214,-212,rest
1388,2328,2108,15104,386,-377,-24,rest
1431,2332,2132,14844,246,-2,-256,rest
1472,2412,1864,14764,230,-177,-38,rest
1515,2324,1968,15244,219,-425,-57,rest
1558,2656,1804,14724,238,-145,-327,rest
1601,2104,2148,15088,307,-490,-75,rest
1644,2800,1676,14620,135,-73,-198,rest
1686,2316,2104,15264,257,-339,-220,rest
1730,2356,1948,14400,48,-497,-188,rest
1773,2308,1876,15204,-100,81,-422,rest
1815,1936,2216,15144,337,-493,-96,rest
1858,2212,1840,15324,228,-185,124,rest
1901,2632,1824,14792,325,-559,-3,rest
1942,2628,1768,14700,329,-101,-272,rest
1986,2444,1404,14436,15,-326,-275,rest
2029,2120,1672,14396,-289,-378,-431,rest
2073,2304,1272,15344,-64,-11,-16,rest
2115,3136,1344,15288,-53,-124,242,rest
2158,2404,1600,15368,240,-363,-45,rest
2200,2552,1656,14696,303,-109,300,rest
2243,2004,2136,15492,472,153,245,rest
2284,2444,2564,14976,722,-611,1391,stab
2328,3492,2596,15280,462,-581,589,stab
2371,2356,5512,16160,1327,-2216,665,stab
2415,5688,9540,14604,371,-2204,-1440,stab
2461,2360,16712,17144,966,-3243,-2656,stab
2508,3108,16048,13532,849,-3166,-1390,stab
2555,1920,13044,12808,-648,95,-2318,stab
2599,-372,11744,13740,-2684,-2443,-135,stab
2648,8328,1228,9972,-3718,3057,-2813,stab
2694,-2328,-1144,11936,-794,9701,-3303,stab
2741,-1000,-10580,10444,-332,11743,8943,stab
2790,1508,-14636,14632,-4917,15670,13223,stab
2840,5008,-14684,21916,-410,240,6975,stab
2885,120,-8520,18608,1363,-8947,-2216,stab
2932,-3244,-5660,12892,3547,-5234,-3075,stab
2981,-208,-5576,13356,174,30,-3405,stab
3025,-2972,-3560,17092,1542,476,-3928,stab
3072,-1596,-3216,16320,1825,-6794,235,stab
3119,5144,-4204,10676,37,-3804,-2402,stab
3165,-404,-260,17264,554,-2719,-917,stab
3209,7612,-2092,9488,5737,1764,-1452,stab
3255,-128,2760,13348,-549,6031,-6802,stab
3301,-284,4732,16020,-179,-350,-471,stab
3345,1456,4268,14052,-1711,-3106,-1420,stab
3393,1188,5912,16084,-255,-40,1221,stab
3437,2464,5092,17352,-250,-308,-110,stab
3481,272,6368,16344,1411,-878,969,stab
3524,624,5508,15992,1578,-2074,1840,stab
3569,3308,3368,14864,1240,-1680,1229,stab
3614,2072,4168,17024,1105,-352,-3752,stab
3660,-700,5876,15528,524,-1626,-1520,rest
3706,1644,3520,13952,951,-1439,-562,rest
3750,1020,4500,13888,1017,-207,-215,rest
3795,1876,4404,13488,458,304,116,rest
3837,1884,4052,14048,-490,-207,-282,rest
3881,2036,3560,14048,39,-226,-111,rest
3924,1484,3640,14592,-276,-395,-166,rest
3970,2404,2684,13900,-406,-107,-355,rest
4014,500,3628,15312,-266,8,468,rest
4054,3212,1484,15048,-160,-345,575,rest
4098,2300,1912,14508,-285,-165,-1484,rest
4143,1140,2484,14872,115,-118,6,rest
4184,2256,1856,15416,-227,-295,-613,rest
4229,1692,2172,15004,198,-84,-205,rest
4271,1732,1944,15340,-59,31,-250,rest
4313,1916,1892,14828,128,-33,-742,rest
4356,1524,2052,15012,94,63,-414,rest
4396,1324,2060,15140,204,-198,66,rest
4438,1596,1812,14368,7,303,-411,rest
4477,620,2532,15124,71,546,194,rest
