time,ax,ay,az,gx,gy,gz,target
5,2664,1636,14612,400,-105,-183,rest
18,2752,1780,14920,233,-286,-132,rest
31,2720,1756,14976,201,-518,-139,rest
72,2756,1872,14228,140,-428,-247,rest
114,2788,1796,14684,15,38,-187,rest
153,3088,1568,15208,-227,-37,-251,rest
196,2872,1684,14968,-41,-153,-540,rest
239,2668,1708,14796,78,43,-464,rest
278,2704,1712,15300,53,25,-338,rest
318,2620,1524,15040,149,70,-295,rest
359,2736,1504,14720,180,-196,-373,rest
401,2448,1672,14668,130,32,-151,rest
442,2920,1520,15324,99,-94,-99,rest
481,2744,1700,14956,242,-272,-233,rest
524,2760,1588,14712,38,-33,-237,rest
565,2540,1640,14872,36,-63,-336,rest
605,2236,1588,14880,-100,77,-250,rest
647,2380,1620,15068,22,8,95,rest
683,2600,1588,14892,-1,139,-200,rest
723,2556,1640,15464,97,154,-45,rest
763,2536,1532,15032,183,-188,49,rest
803,2568,1460,15244,273,-50,-32,rest
844,2604,1420,14820,201,-237,-29,rest
885,2440,1540,14932,197,-104,-107,rest
928,2496,1568,14876,161,-166,-195,rest
971,2148,1620,14980,22,75,-100,rest
1010,2376,1620,15212,324,2,-33,rest
1050,2496,1416,14952,281,-147,-170,rest
1094,2232,1592,15028,142,-48,-117,rest
1136,2356,1604,14648,266,-185,-86,rest
1179,2284,1712,14928,200,-115,-132,rest
1222,2516,1448,14824,150,-189,-50,rest
1265,2424,1532,15152,239,-196,-225,rest
1309,2480,1536,14660,189,-170,-218,rest
1352,2232,1756,15016,108,-372,-120,rest
1396,2400,1500,14972,129,-140,-20,rest
1439,2344,1500,14832,89,-259,-214,rest
1481,2248,1660,14968,128,-192,-70,rest
1524,2240,1584,15032,197,-247,-139,rest
1568,2368,1524,15140,126,-242,121,rest
1610,2552,1392,15168,75,-311,-129,rest
1653,2300,1532,14940,337,-265,-136,rest
1697,2448,1532,14916,233,-274,-311,rest
1740,2244,1736,14744,60,-212,-94,rest
1782,2476,1576,15136,177,-203,-148,rest
1826,2360,1592,15084,316,-250,-237,rest
1869,2252,1636,15208,269,-165,-198,rest
1913,2388,1432,14824,168,-203,-250,rest
1957,2204,1576,14944,206,-233,-220,rest
2000,2292,1592,15260,-12,-85,-235,rest
2043,2252,1472,15492,172,-23,-296,rest
2085,2192,1560,15160,216,-173,-87,rest
2128,2380,1580,14924,283,-86,-177,rest
2171,2228,1596,14832,224,-226,-73,rest
2213,2300,1632,14832,174,-154,-143,rest
2257,2216,1452,15012,39,-31,-183,rest
2299,2268,1436,14984,104,-137,-284,rest
2342,2016,1608,15100,98,-79,-193,rest
2384,2256,1488,15088,202,-136,-28,rest
2427,2492,1364,15144,253,-209,-208,rest
2470,2204,1576,14712,330,-230,-201,rest
2514,2052,1608,14796,120,-253,-236,rest
2558,2116,1596,14844,68,-242,-151,rest
2600,1936,1680,15272,203,-240,-3,rest
2642,2252,1512,14888,101,-224,18,rest
2683,2448,1548,15328,120,-264,-266,rest
2727,2048,1688,14732,122,-316,-297,rest
2771,2144,1572,15176,189,-215,-172,rest
2814,2236,1384,15012,204,-209,-249,rest
2859,2080,1548,15192,301,-389,-232,rest
2903,2284,1396,14836,154,-109,-219,rest
2946,2220,1560,15212,205,-279,-273,rest
2990,2132,1504,14764,112,-87,-250,rest
3033,2020,1552,15132,10,-367,-146,rest
3075,2060,1580,14820,64,-301,-66,rest
3117,2152,1508,15060,93,-100,-81,rest
3159,2404,1308,15108,218,-239,-133,rest
3202,2304,1524,15188,292,-309,-371,rest
3246,2288,1524,14796,179,-348,-250,rest
3290,2004,1608,15104,135,-205,-283,rest
3333,2064,1532,15012,124,-118,-272,rest
3377,2220,1468,15248,253,-250,-192,rest
3421,2208,1488,14864,228,-307,-121,rest
3464,2100,1452,15024,132,-244,-74,rest
3507,2340,1396,14968,155,-331,-277,rest
3550,2204,1600,15000,118,-143,-330,rest
3594,2120,1572,15052,209,-226,-264,rest
3638,2088,1536,15036,211,-424,-58,rest
3680,2124,1396,14892,173,-301,-21,rest
3723,2476,1524,14776,252,-336,-110,rest
3767,2264,1468,14856,-28,-388,-274,rest
3810,2220,1484,15252,-34,-430,-273,rest
3854,1808,1696,14992,294,-141,-250,rest
3898,2168,1672,15016,204,-75,21,rest
3938,2408,1396,15028,149,-300,-113,rest
3982,2384,1588,14940,213,-253,-179,rest
4026,2316,1472,14972,246,-296,-422,rest
4069,2268,1512,14816,261,-61,-338,rest
4112,1972,1616,15136,204,-95,-233,rest
4155,2280,1456,15252,241,-345,-192,rest
4198,2100,1504,15080,334,-205,-286,rest
4242,2416,1488,15012,215,-78,-201,rest
4284,2052,1528,14920,148,-346,-336,circ
4328,2268,1568,15028,31,-97,-295,circ
4370,1692,1628,14988,117,-385,-147,circ
4413,840,1396,15100,82,-344,693,circ
4454,-232,1236,14636,168,-97,1850,circ
4497,-2100,1684,15904,-5,-52,3563,circ
4539,-1492,1724,15788,1125,-1887,7164,circ
4586,980,1352,15828,1425,-2136,8392,circ
4631,1872,1376,15344,1865,-2662,9199,circ
4676,3236,1284,15244,2409,-1214,9485,circ
