time,ax,ay,az,gx,gy,gz,target
5,2264,976,14660,330,-450,-65,rest
17,2340,944,14892,196,-403,-144,rest
30,2408,912,15064,147,-250,-276,rest
68,2088,992,15144,325,-210,-290,rest
109,1848,1332,15000,220,-302,-25,rest
150,2436,892,15192,268,-209,-127,rest
192,2064,1144,15068,254,-222,-203,rest
235,2344,1024,15248,279,-375,-68,rest
276,2348,988,14880,125,-411,-361,rest
318,1964,1144,14748,-8,-480,-109,rest
360,2040,1040,14780,15,114,-91,rest
399,2136,1056,15244,-7,-458,58,rest
439,2344,984,15104,57,-102,-100,rest
479,2440,848,15132,-83,-297,-93,rest
520,2220,992,14820,51,-158,-360,rest
561,2008,1048,15080,-25,-145,-231,rest
603,2132,972,14924,-129,-302,-207,rest
646,2192,960,15200,110,-70,-301,rest
686,2116,1012,15156,149,-283,-155,rest
729,2352,876,14952,180,21,-292,rest
769,2348,752,15316,192,-251,-274,rest
809,2032,892,14776,233,-78,-352,rest
850,1716,1020,15068,185,35,-178,rest
891,2416,720,15000,37,-328,-84,rest
930,2156,748,14872,66,44,-436,rest
969,1924,956,14992,164,13,-230,rest
1008,2000,772,14904,113,-63,-146,rest
1050,2220,784,15240,41,-285,-320,rest
1092,2032,872,15096,147,-562,-140,rest
1134,2124,736,14904,25,-161,-351,rest
1176,1928,980,14948,80,-306,-299,rest
1217,1948,904,15260,193,-130,27,rest
1258,2340,672,15152,267,-461,-181,rest
1301,2240,872,14816,71,-255,-130,rest
1342,2072,764,15236,255,-300,-381,rest
1385,2004,920,14744,282,-243,-230,rest
1428,1984,868,14976,87,-225,-219,rest
1469,1780,1124,15476,227,-238,-160,rest
1513,2068,812,15012,299,-215,61,rest
1553,2456,732,15116,357,-118,-312,rest
1596,2088,908,14904,189,-293,-190,rest
1639,2108,876,15092,230,-271,-247,rest
1681,2136,720,14912,150,-168,-285,rest
1724,2040,856,15100,214,-95,-188,rest
1766,2072,848,15124,178,-437,-168,rest
1808,2236,820,14936,202,-460,-172,rest
1851,1924,1016,15024,141,-232,-288,rest
1895,2116,864,15008,222,-318,-160,rest
1937,2004,840,14888,129,-220,-204,rest
1980,2020,892,14968,79,-226,-26,rest
2020,2144,892,14952,196,-248,-241,rest
2063,2168,928,15388,168,-114,-77,rest
2105,2456,736,14920,160,-417,-205,rest
2147,2068,912,15136,146,-226,-463,rest
2190,1944,888,14788,67,-282,-383,rest
2232,2012,688,14960,-23,-213,-171,circ
2274,1708,936,14792,-149,-292,-135,circ
2318,1600,644,15064,-32,-266,285,circ
2360,1024,632,15044,99,-567,834,circ
2400,136,820,14756,-374,-342,1568,circ
2443,-540,792,15872,193,-515,2981,circ
2485,420,652,15468,650,-1094,4426,circ
2528,1344,580,15576,1057,-1558,5987,circ
2573,1880,824,15572,1551,-1114,6478,circ
2617,2232,860,15768,2243,-1216,7272,circ
2662,2996,1084,15800,2458,-1837,7087,circ
2708,3176,1232,15588,3225,-2244,8706,circ
2753,5328,652,16388,3908,-2145,7321,circ
2798,4148,2776,16976,4399,-3921,6045,circ
2844,6348,1940,16484,6047,-2366,5636,circ
2890,5412,3512,13520,5613,-2998,3973,circ
2935,6932,2660,15940,6846,-2229,2462,circ
2981,8728,2388,14240,6507,-2639,-871,circ
3027,7100,3912,15336,6296,-1615,-2805,circ
3074,8764,3432,13096,6997,-1984,-4669,circ
3121,6944,4576,12924,6480,-1777,-6718,circ
3168,7052,4388,11800,6029,-660,-8645,circ
3213,7328,4364,9656,3721,-1125,-10928,circ
3260,3828,5296,9596,803,146,-14363,circ
3304,2636,5684,9436,-1608,1051,-13882,circ
3350,880,5568,10220,-2874,1550,-14158,circ
3397,-1060,4736,10796,-4883,2354,-13159,circ
3446,-2680,4768,13128,-6480,-773,-10105,circ
3495,-2264,4088,12992,-6606,713,-8588,circ
3542,-2180,3880,14856,-5520,-1395,-7061,circ
3591,-1244,2720,12980,-4691,-882,-5547,circ
3639,-4004,4372,17028,-3284,-711,-3544,circ
3687,-920,3004,13356,-3987,-2985,-1684,circ
3734,-2860,3524,14928,-3460,-2426,87,circ
3780,-420,2200,13848,-4460,-930,-505,circ
3826,-4188,3928,16420,-4988,-1621,1363,circ
3873,-2400,2356,15992,-4651,-1001,3568,circ
3921,-4260,3320,15900,-3620,-1947,6776,circ
3970,408,592,16988,-4249,-3538,7891,circ
4014,392,1080,17380,-1149,-1767,6946,circ
4060,1356,1164,17220,-1515,-5259,8442,circ
4107,4620,40,15208,486,-1957,7098,circ
4149,4708,436,15224,-138,-1798,5574,circ
4194,6016,-192,14568,-299,-2093,3759,circ
4240,3868,1012,16028,559,393,2885,circ
4282,4888,136,16136,453,-1658,2926,circ
4326,4676,416,14708,1247,85,647,circ
4367,3128,1060,14956,1299,-43,949,circ
4409,4160,588,14636,532,-349,182,rest
4451,2764,1028,14804,493,-245,-41,rest
4494,3080,628,14496,593,-670,483,rest
4535,3296,352,14696,402,280,-362,rest
4577,2504,820,15268,352,-476,-307,rest
4620,2728,732,14572,162,-329,-110,rest
4662,2712,756,14888,77,-184,-233,rest
