time,ax,ay,az,gx,gy,gz,target
5,2352,928,15316,808,-843,158,rest
17,2356,824,14992,703,-524,-55,rest
30,2260,860,14724,505,-103,-119,rest
67,2184,1476,15712,906,287,-393,rest
108,2276,1156,14860,71,-261,-293,rest
149,1732,1360,15272,326,94,-487,rest
190,1716,760,14308,-127,252,-95,rest
231,2620,1512,16048,234,-507,-457,rest
273,1632,744,14328,434,-102,-131,rest
315,2640,1200,14860,-344,-473,-428,rest
359,832,892,14060,-590,1219,-684,rest
400,2384,1020,15660,-411,304,-524,rest
443,968,948,15044,651,-1017,26,rest
482,2292,1064,15200,-310,586,-227,rest
525,1484,1096,14956,615,-1018,-190,rest
569,2088,1100,14868,-132,-130,6,rest
609,1528,1360,15904,241,-523,-335,rest
652,1980,728,15032,-140,-21,6,rest
690,2140,1196,15456,466,-540,-337,rest
733,1924,904,14308,313,-112,-231,rest
775,1632,1152,15224,80,-523,-307,rest
816,1468,1020,15312,74,98,-436,rest
856,1700,944,14992,139,3,-157,rest
894,2064,920,15244,307,-316,-89,rest
934,1488,1028,14888,49,-407,-166,rest
976,2164,932,15016,189,389,135,rest
1015,2136,976,15352,526,-611,-195,rest
1058,1680,1040,14896,354,317,7,rest
1098,2116,1116,14920,677,-564,-140,rest
1141,1836,1160,14812,-23,-118,-191,rest
1185,1740,1048,14944,265,-62,-389,rest
1228,1512,968,14700,-295,117,-346,rest
1270,1604,1184,15436,423,-560,-175,rest
1314,1960,620,14632,575,-693,-41,rest
1355,2016,1320,15644,469,-108,-282,rest
1399,1780,892,14760,274,-76,-387,rest
1441,1528,1244,15172,233,-155,-244,rest
1484,1788,1148,15120,219,-213,-68,rest
1527,2012,1160,15320,9,-56,-287,rest
1568,1688,1100,14760,547,-185,-299,rest
1611,1920,1320,15724,407,-694,-204,rest
1655,1448,736,14024,387,375,-457,rest
1697,1828,1104,15264,160,-414,-117,rest
1740,1652,1128,15024,582,-252,-34,rest
1783,1732,1032,14632,4,-22,-239,rest
1824,2064,1248,15276,316,-197,-257,rest
1867,1644,1016,14504,-12,-435,18,rest
1909,1596,1116,14764,63,-219,-206,rest
1951,1952,1188,15356,374,-429,-155,rest
1995,1380,1160,15024,529,-895,266,rest
2038,2000,1292,15664,-326,52,-322,rest
2080,2232,1004,14204,-169,157,-438,rest
2124,1788,868,15056,485,-623,-31,rest
2166,1636,1208,14792,29,-182,-110,rest
2208,1992,1160,15328,161,13,-201,rest
2250,1536,1204,15136,300,-726,-132,rest
2294,1764,872,14468,597,88,-149,rest
2334,1652,1140,15104,-129,206,-313,rest
2378,1688,1384,15480,275,-626,-17,rest
2420,2000,1096,15084,317,-735,-57,rest
2463,1772,1064,14912,32,-36,-88,rest
2504,1608,1108,14920,219,-283,-83,rest
2546,2060,1252,15564,294,-699,-54,rest
2589,1408,1204,14796,151,92,-169,rest
2631,1936,1384,15424,451,-704,-182,rest
2674,1420,848,14120,230,-327,5,rest
2714,1848,1548,15628,518,460,-306,rest
2757,1912,1320,15352,192,-456,-149,rest
2800,1680,904,14548,311,-34,-223,rest
2842,1960,1184,14980,-320,-454,-217,rest
2886,1480,1196,15364,526,-50,-86,rest
2928,1892,868,14508,-582,-313,-13,rest
2971,1540,1512,15860,720,-100,-70,rest
3013,2036,628,13584,-196,-210,4,rest
3054,2048,1484,15728,-184,-429,-277,rest
3099,1536,988,14816,690,23,-92,rest
3138,1820,1296,15140,104,-761,-34,rest
3181,1468,1176,14816,709,-224,77,rest
3223,2108,1360,15496,-89,-285,-40,rest
3265,1384,888,14116,231,-214,79,rest
3306,2100,908,14676,-340,-153,95,rev_circ
3347,1200,1224,14980,54,-772,106,rev_circ
3389,1756,1092,15312,-378,135,130,rev_circ
3432,2744,772,14768,-384,-204,134,rev_circ
3474,3616,808,14936,-342,-221,-281,rev_circ
3518,4244,1236,14940,-548,-127,-665,rev_circ
3563,4460,1648,15704,-132,-1537,-1620,rev_circ
3609,3520,1288,14956,-379,-229,-1766,rev_circ
3655,6652,1180,16652,-703,-854,-3076,rev_circ
3701,3652,12,15328,156,-2869,-4191,rev_circ
3744,4280,992,18600,-38,-268,-4781,rev_circ
3788,4976,-36,17392,650,-2574,-5958,rev_circ
3833,5752,672,16648,2420,-2673,-7657,rev_circ
3878,4268,720,16824,1633,-3739,-11170,rev_circ
3926,-708,2032,18052,3089,-1187,-10898,rev_circ
3974,-8,2228,16056,4399,4397,-7369,rev_circ
4017,-3288,1616,17192,3360,1063,-6981,rev_circ
4064,-3836,2028,15176,4828,4438,-3985,rev_circ
4111,-3292,1416,13916,3353,4702,-1564,rev_circ
4158,-6156,1612,14212,3887,3624,1153,rev_circ
4203,-4612,544,11816,3056,4646,4775,rev_circ
4248,-2644,1496,13772,3674,3446,5739,rev_circ
4294,-2336,2328,13272,2383,3582,6784,rev_circ
4339,-2168,1576,12792,1842,1317,8258,rev_circ
4385,-2024,2752,11156,-369,779,9356,rev_circ
4430,-136,2620,11148,-278,988,9302,rev_circ
4473,-16,2580,11024,-1199,-519,9984,rev_circ
4518,248,3064,11284,-1167,-92,10164,rev_circ
4563,3236,2224,8900,-3278,-2049,10456,rev_circ
4610,4576,2376,12084,-3963,278,8537,rev_circ
4655,6688,1352,11980,-5342,611,7313,rev_circ
4700,7220,2032,14000,-5622,582,5677,rev_circ
4744,6968,1872,13588,-5898,-624,3177,rev_circ
4790,6380,2136,15376,-7239,-786,1378,rev_circ
4836,4792,1688,17336,-4315,-3402,48,rev_circ
4880,7180,1108,17432,-3599,-1035,-300,rev_circ
4927,4608,1728,20300,-645,-4978,-1466,rev_circ
4974,7000,300,16272,-771,540,-2509,rev_circ
5017,3312,1588,20264,1274,-3359,-4269,rev_circ
5064,3468,1428,17004,1799,1102,-3944,rev_circ
5110,2876,512,16776,2346,9,-4366,rev_circ
5152,1728,1620,16408,2228,3185,-4549,rev_circ
5197,1760,1076,16560,2951,536,-4443,rev_circ
5242,256,1860,16532,2706,730,-4360,rev_circ
5286,192,1644,15532,2807,1472,-3576,rev_circ
5330,40,1960,14124,2411,-310,-2512,rev_circ
5374,-544,1728,13980,1187,-423,-1710,rev_circ
5421,172,2544,15140,1234,253,-1158,rev_circ
5464,308,1644,13580,219,-415,-557,rev_circ
5507,864,2356,15040,-101,26,-560,rev_circ
5548,936,2180,15588,879,425,-142,rest
5590,1964,2424,14176,-21,-632,-14,rest
5633,1964,2304,14580,635,-731,-225,rest
5676,1784,2616,14936,264,-530,-336,rest
5720,1856,2524,15348,63,-645,-240,rest
5763,1680,2512,15220,1334,-140,-399,rest
5807,1944,2284,14004,147,-1048,-131,rest
5852,1656,2856,15256,543,-549,-263,rest
5896,1904,2448,14852,87,309,-46,rest
5936,1712,2876,15040,575,-1037,297,rest
5980,2284,2544,14184,399,133,77,rest
6021,2320,2352,14084,-82,-797,41,rest
6062,2360,3000,15784,-136,291,-195,rest
