time,ax,ay,az,gx,gy,gz,target
5,2256,144,14948,350,-545,-340,rest
17,2264,228,15072,270,-735,-415,rest
30,2360,112,14844,319,-619,-504,rest
69,1840,416,14668,239,-17,-552,rest
109,1816,528,14972,303,-352,-343,rest
150,1964,188,14620,36,-386,-270,rest
191,2032,472,14952,215,-237,-375,rest
233,2108,280,14344,110,-233,-246,rest
274,2128,256,14800,-252,-150,-570,rest
317,1824,592,15004,-96,-294,-374,rest
359,1640,504,15412,-68,-376,-64,rest
399,2324,-8,15096,242,-257,-219,rest
440,1956,432,15344,289,-559,-344,rest
481,2212,80,14524,2,-467,-316,rest
520,1892,420,14912,169,-231,-432,rest
562,1916,260,15372,325,-196,-181,rest
603,2080,224,15264,90,-220,-250,rest
644,2060,176,15152,146,-322,-151,rest
685,1828,252,14912,287,-51,-312,rest
726,1988,376,15280,421,-473,25,rest
765,2212,8,14880,220,-151,-371,rest
804,1788,636,14968,512,-457,-168,rest
846,2252,428,14704,459,-108,-14,rest
886,2180,316,14628,175,-353,-465,rest
928,2036,496,14912,277,-327,-170,rest
970,2024,408,14924,4,-170,-346,rest
1009,1932,464,15256,304,-333,-272,rest
1052,2104,344,15156,345,-362,-115,rest
1095,2484,256,15044,133,-352,-243,rest
1137,1884,416,14916,41,-113,-390,rest
1179,2024,352,15388,216,-407,-294,rest
1221,2136,252,15064,77,-203,-106,rest
1263,1788,400,14940,81,-556,-285,rest
1305,2168,432,15040,308,-254,-128,rest
1347,2340,136,14816,150,-555,-243,rest
1390,1872,628,15316,235,-153,-248,rest
1433,1896,536,15016,434,-540,-66,rest
1474,2400,276,14956,480,-373,-52,rest
1516,1992,508,14808,77,-207,-152,rest
1558,2320,288,14760,82,-391,-68,rest
1598,2088,448,15488,212,30,-261,rest
1639,2172,292,14516,77,-385,-299,rest
1680,2040,564,15380,175,-161,-323,rest
1723,2164,224,14948,414,-446,-37,rest
1765,2460,196,15288,296,-337,-554,rest
1807,1728,696,15276,125,-312,-206,rest
1850,2200,156,14724,367,-320,-118,rest
1893,2216,316,15124,104,-181,-504,rest
1935,1648,408,15144,311,-229,-147,rest
1978,2068,332,15312,104,-194,-268,rest
2020,1816,460,15076,341,-154,-77,rest
2062,2120,256,15116,125,-338,-90,rest
2104,1836,580,14896,1,-254,10,rest
2142,2208,296,15064,276,1,-34,rest
2181,2224,376,15180,35,-446,26,rest
2220,2460,392,14436,57,-246,-115,rest
2262,2000,492,14808,-92,38,-9,rev_circ
2300,1920,448,15092,-149,137,-209,rev_circ
2342,1752,512,15496,-169,-253,331,rev_circ
2385,2468,152,15264,-151,-167,302,rev_circ
2428,3124,4,15060,-38,-917,499,rev_circ
2467,3868,288,14264,-484,-408,177,rev_circ
2510,6540,440,13024,-1354,-1463,194,rev_circ
2555,7068,-576,13048,-1876,1796,-2020,rev_circ
2601,6580,-1184,16748,-1929,1072,-3584,rev_circ
2650,4136,-336,17244,-364,-2138,-4626,rev_circ
2697,3396,-1040,17548,-502,724,-6774,rev_circ
2742,904,448,20248,2398,-2517,-5471,rev_circ
2787,1380,300,20324,3051,-3657,-6256,rev_circ
2833,156,160,22852,5277,-2883,-5138,rev_circ
2877,320,580,22984,6334,-2714,-5314,rev_circ
2922,-828,2232,17192,9177,-2424,-2954,rev_circ
