time,ax,ay,az,gx,gy,gz,target
5,6696,1664,14052,176,-220,-242,rest
18,6604,1888,13904,148,-370,-159,rest
31,6676,1840,14032,153,-415,-148,rest
72,6624,1728,13924,259,-259,-216,rest
114,6716,1764,13992,322,-105,-78,rest
155,6944,1840,13936,225,-366,-61,rest
197,6880,1708,13624,142,-190,-259,rest
240,6740,1856,13852,74,-4,-136,rest
279,7008,1844,14052,135,-82,-138,rest
321,6876,1860,14028,204,-163,-161,rest
364,6824,1892,13700,161,-76,-163,rest
405,6796,1868,13828,-11,-87,-261,rest
447,6472,1692,14068,-41,-127,-183,rest
489,6716,1844,13800,62,-169,241,rest
530,6900,1716,14144,-16,79,-61,rest
570,6596,1756,14132,305,-91,205,rest
610,6912,1372,13876,-195,-348,-134,rest
654,6192,1780,14304,156,101,54,rest
694,6380,1776,13768,597,94,249,rest
733,6996,1448,13876,296,0,-139,rest
773,6716,1828,14096,168,-279,-297,rest
815,6876,1536,13660,267,-465,-410,rest
858,6628,1668,13840,104,176,-638,rest
900,6504,1804,14156,272,-217,-258,rest
942,6584,1676,14008,186,-181,-398,rest
985,6316,1812,14132,275,-27,-84,rest
1026,6812,1636,14008,77,-162,-319,rest
1068,6492,1856,14176,198,-194,-246,rest
1112,6492,1740,13836,114,50,-248,rest
1153,6628,1716,14156,122,-93,-188,rest
1196,6460,1764,13732,145,-299,-149,rest
1240,6596,1604,14060,0,162,-194,rest
1280,6480,1664,14204,166,25,-128,rest
1321,6560,1560,14012,40,-115,-267,rest
1364,6240,1808,14272,175,128,-336,rest
1406,6588,1692,14020,144,-262,-196,rest
1451,6644,1616,13996,76,106,-378,rest
1492,6496,1756,14144,21,-121,-492,rest
1534,6196,1716,13816,-6,-44,-276,rest
1576,6428,1532,14088,-53,-141,-313,rest
1619,6228,1660,13924,10,-55,-228,rest
1661,6196,1620,14336,-40,-251,-139,rest
1705,6228,1476,14184,183,-169,-56,rest
1747,6444,1596,13836,95,-264,7,rest
1787,6488,1504,14000,26,-325,-58,rest
1829,6424,1732,14108,-101,-29,-211,rest
1872,6172,1588,14328,120,57,-244,rest
1914,6260,1484,14352,394,-111,-202,rest
1958,6108,1536,13788,251,-174,-109,rest
2001,6312,1480,14196,122,-159,-135,rest
2045,6344,1528,14188,166,-201,-170,rest
2089,6268,1500,13828,186,107,-269,rest
2131,6280,1500,14364,85,157,-499,rest
2173,5960,1752,14364,213,-297,-233,rest
2216,6064,1624,13908,85,-264,-188,rest
2259,6160,1620,13984,75,121,-78,rest
2300,6248,1484,14340,94,12,-191,rest
2340,6136,1504,14612,153,-178,-297,rest
2384,6240,1436,13964,142,-298,-95,rest
2427,6164,1568,14088,65,-384,-135,rest
2469,6116,1500,14144,20,-110,-282,rest
2512,6000,1568,14332,120,-193,-274,rest
2556,6116,1520,14264,228,-387,-147,rest
2599,6132,1448,14084,210,-372,22,rest
2641,6120,1552,14300,121,-137,-220,rest
2684,6240,1512,14224,204,-284,-35,rest
2727,6188,1444,14324,105,-244,-257,rest
2771,6000,1432,14120,382,-399,-25,rest
2813,6076,1596,14088,103,-144,-73,rest
2856,6080,1808,14724,203,-53,-202,rest
2899,6052,1552,14116,358,-339,-133,rest
2942,6120,1428,13768,106,-47,-115,rest
2985,6152,1572,14308,169,-240,-81,rest
3028,6164,1508,14268,92,-235,-283,rest
3070,5984,1536,14332,85,-290,-263,rest
3113,6240,1276,14076,140,-137,-228,rest
3158,5888,1480,14452,114,-218,-431,rest
3201,5868,1592,13932,151,-182,-239,rest
3245,6064,1472,14296,81,29,-117,rest
3284,6164,1308,14564,286,-372,-275,rest
3329,6092,1448,13720,241,-390,-188,rest
3373,6116,1444,14420,120,-209,-249,rest
3416,5936,1516,14176,249,-375,-165,rest
3460,6200,1516,14264,179,-109,-317,rest
3504,5976,1428,14296,204,-288,-315,rest
3547,6164,1396,14088,198,-293,-234,rest
3591,6048,1436,14184,179,-486,-150,rest
3635,5896,1536,14080,191,-241,-53,rest
3677,6308,1456,14264,282,-201,27,rest
3719,6200,1400,14092,262,-464,-188,rest
3763,5996,1436,13856,96,-349,81,rest
3803,6364,1368,14228,37,-45,-242,rest
3845,6032,1592,14464,104,-177,-265,rest
3889,6096,1532,14228,71,-175,-186,rest
3931,5896,1508,14312,216,-273,-76,rest
3974,6172,1300,14108,280,-450,-125,rest
4017,6068,1476,14088,213,-542,-202,rest
4061,6052,1516,14016,140,-222,-166,rest
4105,6280,1412,14476,208,-242,-250,rest
