time,ax,ay,az,gx,gy,gz,target
5,1808,688,14968,-185,30,-53,rest
17,1828,652,15012,-122,-238,-214,rest
30,1528,780,14920,-169,-552,-334,rest
69,1092,996,15876,86,-205,-305,rest
109,1612,808,15188,21,-105,-118,rest
149,1440,816,15456,220,-400,-135,rest
191,1468,704,14876,185,-56,-145,rest
232,1552,680,14920,-50,-116,-198,rest
273,1032,832,15616,338,-741,-288,rest
315,1504,668,15112,386,139,-278,rest
355,824,764,15072,236,-832,-151,rest
396,1592,680,15172,58,53,117,rest
434,1824,684,14992,241,-828,-216,rest
475,1532,760,15008,33,-51,-43,rest
514,1636,632,15240,-24,-278,-337,rest
555,1064,740,15024,-163,-245,-203,rest
598,1808,736,15392,-118,42,-242,rest
638,1316,736,15376,537,-301,-267,rest
679,1180,620,15132,174,-45,-218,rest
720,1284,872,15128,336,-232,-176,rest
762,1320,788,14988,325,-308,-60,rest
802,1396,752,14784,40,-91,-31,rest
841,1484,808,15604,658,-586,-232,rest
882,1160,1028,14428,131,-217,-79,rest
924,1528,804,15488,413,-182,-188,rest
966,1512,768,15032,168,-221,-176,rest
1007,1352,752,14836,440,-406,-131,rest
1050,1196,716,15152,539,-9,-261,rest
1091,912,632,14700,289,-191,-371,rest
1132,760,696,14904,-152,138,-100,rest
1174,1420,708,15484,-493,1110,267,rest
1216,1504,1008,15648,197,-813,510,rest
1259,1744,860,15768,-157,-587,26,rest
1301,1868,932,15784,458,-731,-435,rest
1343,1420,744,14496,470,-334,-478,rest
1386,1264,788,15204,28,-348,-751,rest
1428,856,644,15032,60,-291,-624,rest
1468,1080,488,15980,595,817,-579,rest
1510,908,304,14284,29,-1165,-241,rest
1551,1424,908,15580,417,135,-415,rest
1593,1332,564,14724,452,44,-447,rest
1634,960,1144,14768,268,-319,-446,rest
1676,908,820,15008,218,188,-469,rest
1717,744,896,14628,387,-863,185,rest
1758,1060,680,15148,-95,-522,-43,rest
1799,1084,668,15068,641,-219,320,rest
1841,1488,976,15524,-179,-365,118,rest
1883,1860,652,14988,126,-430,125,rest
1925,1520,852,15528,256,108,26,rest
1965,1316,652,14728,173,-610,-187,rest
2007,1532,800,14604,202,-44,-40,rest
2048,1324,600,14680,-210,-650,-470,rest
2092,1236,884,15680,29,227,-357,rest
2131,1016,732,15304,-103,-391,-290,rest
2176,864,816,15764,275,-51,77,rest
2213,1448,724,15272,499,-93,61,rest
2253,1344,576,14800,88,-464,-66,rest
2294,1204,888,15592,621,-18,-107,rest
2335,1272,668,14360,338,-345,-47,rest
2377,1488,740,15200,-159,-399,-314,rest
2420,1276,816,15236,302,-27,-245,rest
2462,1148,816,14912,286,-448,-249,rest
2505,1016,780,15192,164,-89,-115,rest
2546,1020,844,14804,604,-559,52,rest
2587,1412,656,14280,103,441,178,rest
2628,1644,464,15556,-325,-578,-155,rest
2671,1164,756,15424,353,-299,-64,rest
2713,996,784,15084,7,-310,-242,rest
2752,1124,648,14944,46,-55,55,rest
2791,1240,568,15436,186,-137,-15,rest
2833,872,724,15180,293,-337,63,rest
2872,1240,736,15284,435,-34,131,rest
2913,1360,676,14632,310,-455,24,rest
2953,1524,784,15012,-125,91,-6,rest
2993,1352,832,15220,322,-95,-62,rest
3034,1120,704,14724,422,-209,-174,rest
3076,1432,792,15000,151,-295,-223,rest
3119,1100,868,14840,175,-167,-120,rest
3162,1432,668,15268,-14,-159,-318,rest
3204,1140,760,14940,296,-294,-302,rest
3247,1052,708,15284,415,-151,-218,rest
3290,944,780,14428,125,-557,-63,rest
3330,1216,788,15536,121,-106,-85,rest
3372,1348,544,14852,227,-263,-264,rev_circ
3414,1020,852,15228,-13,-344,-60,rev_circ
3456,908,808,14952,248,-768,242,rev_circ
3496,784,900,13716,37,-968,739,rev_circ
3535,3352,852,13872,-1285,-643,748,rev_circ
3579,6356,1004,14968,-1171,-763,-510,rev_circ
3625,3436,364,16144,-1025,-3002,-37,rev_circ
3670,4868,648,16632,-1581,-191,-3413,rev_circ
3716,5872,400,16088,-108,-1175,-3611,rev_circ
3762,5944,-600,16192,-2691,-3643,-7641,rev_circ
3809,4432,-832,19528,-573,493,-9270,rev_circ
3854,4664,-916,20712,1060,-5358,-10908,rev_circ
3902,-1164,616,19608,2874,-102,-9192,rev_circ
3947,-72,92,19852,5492,-1180,-8760,rev_circ
3991,-2004,1024,13788,6984,853,-7478,rev_circ
4037,468,1116,14988,8059,6050,-6084,rev_circ
4081,-1880,1772,12096,5602,408,-4872,rev_circ
4127,-3812,1792,13300,6218,2997,-3159,rev_circ
4174,-4932,1888,12088,4217,3406,471,rev_circ
4219,-6928,1776,13452,4085,4185,4502,rev_circ
4264,-4216,1704,12920,4815,2293,6822,rev_circ
4311,-6484,2456,11868,4044,1130,9761,rev_circ
4357,-2676,2408,11912,4586,2778,11962,rev_circ
4403,-1812,2752,7428,3937,-202,10480,rev_circ
4449,1216,2456,6992,-564,2272,14050,rev_circ
4494,3016,2916,7208,-2661,2557,12016,rev_circ
4539,6992,2260,9020,-6664,2567,10122,rev_circ
4585,9344,2124,10064,-7941,4052,6418,rev_circ
4631,10256,1500,14700,-10636,3063,2240,rev_circ
4678,8056,2196,20988,-8288,-292,637,rev_circ
4723,4728,2752,20560,-3209,-3152,932,rev_circ
4769,7580,1932,16260,-3695,-1875,-17,rev_circ
4814,6008,1860,18188,-2563,-1824,-2845,rev_circ
4862,3876,2148,18528,-2193,-694,-2721,rev_circ
4910,3048,1160,18348,-1018,-1861,-4698,rev_circ
4958,1880,1788,17980,914,-1708,-2644,rev_circ
5003,1460,948,16784,384,-1208,-3654,rev_circ
5048,540,1268,16736,732,-537,-3107,rev_circ
5092,140,960,16868,2325,1253,-3003,rev_circ
5135,172,1032,14368,2053,-907,-2352,rev_circ
5180,220,1580,14768,1117,-967,-2488,rest
5225,500,1352,14792,982,952,-2208,rest
5267,348,1684,14752,619,-3,-1442,rest
5309,616,1560,14556,780,418,-989,rest
5351,560,1728,14484,1168,431,-649,rest
5393,376,1868,13444,-156,-790,-87,rest
5436,1504,1824,14868,-1167,154,238,rest
5479,2440,1644,15600,333,-251,244,rest
5522,1700,1884,14836,75,-339,704,rest
5564,2360,1960,14748,115,-605,196,rest
5606,2176,1744,14924,-116,-100,-462,rest
5651,1728,1780,15444,-29,-140,-38,rest
5694,1676,1808,15396,201,-450,-55,rest
