time,ax,ay,az,gx,gy,gz,target
5,1096,1804,15012,211,-247,-145,rest
18,1056,1864,14832,166,-282,-194,rest
31,936,1804,15056,183,-317,-162,rest
71,892,1860,15180,413,-413,-6,rest
110,932,1916,14784,130,-261,-6,rest
149,1156,1988,15224,352,-528,-124,rest
192,1200,1696,14476,13,-124,-97,rest
233,1340,1980,15580,325,-391,-135,rest
275,1100,1904,14560,331,-271,-128,rest
318,1152,1776,14776,218,-506,-70,rest
360,1244,1848,15040,226,-189,-172,rest
402,1172,1884,14660,141,-332,-155,rest
445,1072,1796,15052,104,-260,-187,rest
487,832,1732,14960,167,-175,-147,rest
529,1216,2068,15232,8,-239,3,rest
567,1128,1776,14944,239,-114,-59,rest
608,1276,1936,15040,181,-367,-155,rest
651,800,1996,14980,296,-459,-31,rest
692,960,1860,15064,217,-247,-58,rest
732,1212,1784,14988,270,-334,-62,rest
774,1244,1832,14628,284,-263,-34,rest
815,1264,1936,15072,306,-396,-155,rest
858,1176,1912,14784,233,-178,-192,rest
901,1460,1828,14936,124,82,-168,rest
941,1444,1892,14804,286,-533,-191,rest
984,1368,1828,14784,268,-465,-380,rest
1027,1100,1944,14912,132,-150,-296,rest
1070,1016,1772,15164,180,-110,-223,rest
1114,976,1988,15188,-18,-274,-108,rest
1156,1192,1932,14660,247,-141,-42,rest
1199,1072,1884,15156,341,-334,-113,rest
1243,1320,1744,14944,422,-36,-25,rest
1284,1520,1848,14948,409,-607,-96,rest
1327,1076,1968,14640,31,33,-106,rest
1368,1208,1808,14432,220,-436,-91,rest
1410,1392,1848,15252,157,-180,-226,rest
1454,1216,1916,15008,64,-313,-178,rest
1497,1232,1860,14640,270,-358,-182,rest
1540,1232,1980,15388,191,-242,-308,rest
1584,1084,1820,14564,80,-247,-178,rest
1627,1124,1856,15180,198,-496,-236,rest
1670,1084,1724,14828,281,-245,-239,rest
1714,1040,1832,15000,-29,-391,-108,rest
1758,1100,1736,15140,381,15,-233,rest
1799,1076,1940,14480,-25,-530,-160,rest
1843,1200,1776,14932,133,-69,-43,rest
1884,1332,1900,15216,164,-344,-47,rest
1927,1328,1900,15044,499,-110,-129,rest
1971,1452,1752,14588,131,-315,-250,rest
2014,1256,1992,14992,236,-215,-292,rest
2058,1220,1972,15132,-81,-127,-333,rest
2102,1076,1564,15000,865,-702,160,rest
2144,1608,1836,14972,-92,-388,-231,rest
2188,1268,1820,15296,121,-445,-329,rest
2232,1072,1912,15224,189,-396,-111,rest
2275,1300,1904,15200,410,-233,-153,rest
2319,1316,1876,14640,114,-330,-98,rest
2362,1556,1832,15108,213,-147,-291,rest
2405,1180,1812,14932,-72,-344,-288,rest
2449,1068,1860,15248,266,-194,-311,rest
2493,1100,2064,15332,192,-250,-43,rest
2535,1508,1740,15016,440,-240,-53,rest
2578,1548,1788,15152,169,-257,-98,rest
2620,1336,1748,14532,128,-1,-212,rest
2662,1000,1924,15336,210,-402,-62,rest
2705,1028,1804,14788,56,-271,-97,rest
2746,1420,1932,15464,414,-274,-200,rest
2790,1144,1848,14676,65,30,-205,rest
2831,1308,1848,15172,4,-335,-134,rest
2872,1320,1684,14868,487,-217,-189,rest
2916,1132,1980,15056,41,-386,-202,rest
2959,980,1948,14932,260,-195,-123,rest
3001,1456,1780,14788,92,-464,-253,rest
3044,1352,1824,15312,-7,81,-282,rest
3084,1180,1824,15024,197,-523,-154,rest
3128,840,1884,15060,177,-53,-39,rest
3169,1332,1836,15668,162,-346,-96,rest
3211,1372,1800,14748,361,-24,-194,rest
3254,1244,1796,15152,160,-431,-253,rest
3298,1148,1792,14648,237,-25,-219,rest
3340,1256,1940,14864,52,-364,-152,rest
3383,1040,1788,15232,187,-82,-109,rest
3426,1220,1796,15508,541,-603,-157,rest
3469,804,1792,14772,409,31,-83,rest
3509,1204,1956,14632,325,-357,83,rest
3550,1376,1792,15132,234,-173,-200,rest
3594,1316,1792,14328,115,-270,-219,rest
3638,1100,1908,15428,345,-495,-196,rest
3681,1280,1756,14588,-165,-190,-272,rest
3726,1036,1796,15156,117,-404,-300,rest
3770,1088,1844,14620,5,-333,-170,rest
3811,1188,1820,15776,316,-261,-54,rest
3854,1200,1788,14636,171,-459,-14,rest
3897,1212,1864,15248,16,-217,-191,rest
3939,1316,1772,14824,269,-134,-149,rest
3983,1448,1760,15080,96,-333,-123,rest
4026,1228,1724,14880,246,-437,-129,rest
4069,1328,1800,14768,240,-216,-124,rest
4113,1164,1788,14844,101,-246,-128,rest
4157,1424,1716,15168,326,-275,-155,rest
4200,996,1764,14928,70,-216,-105,rest
4242,1188,1820,15040,52,-381,-85,rest
4283,1144,1772,14948,76,-183,-82,rev_circ
