time,ax,ay,az,gx,gy,gz,target
5,576,1192,14616,128,-614,-40,rest
17,968,1028,14372,78,-244,-11,rest
30,1248,960,14424,-12,114,-193,rest
65,732,1508,14928,-457,226,-267,rest
106,1420,952,15872,-357,496,66,rest
145,1860,448,15816,886,1268,-1103,rest
188,276,1264,14184,1917,2856,-590,rest
231,328,800,14828,1405,2372,456,rest
271,776,236,14896,514,-374,-993,rest
312,-564,1040,14760,-140,-965,-1235,rest
356,-1000,1456,15420,-264,-529,-225,rest
401,-660,1632,15728,-109,-1829,692,rest
445,984,584,15112,101,-1337,1035,rest
486,1388,796,14680,389,-453,-151,rest
528,792,968,14728,-438,-1095,504,rest
570,1332,360,15616,-500,-719,66,rest
610,1128,1032,15652,105,-155,-431,rest
653,920,884,15616,177,-85,-525,rest
693,564,1088,15620,363,-1117,-617,rest
735,620,980,14864,607,-1003,-141,rest
777,872,972,14860,498,-515,-410,rest
817,104,1572,15984,526,-1405,-239,rest
860,1332,692,14436,486,-1042,284,rest
902,888,1092,14844,272,-116,-329,rest
943,668,980,14932,156,-304,193,rest
983,1448,732,14572,-249,-235,-35,rest
1025,996,968,15444,4,217,-670,rest
1062,568,1324,15220,20,-481,90,rest
1102,1140,624,14996,126,-361,-39,rest
1143,1360,832,15032,59,-369,-481,rest
1185,624,1096,14848,-24,-773,-44,rest
1227,1556,540,15052,-46,-76,-402,rest
1268,940,1028,15144,6,-273,-637,rest
1309,444,1232,15280,77,-259,122,rest
1349,1420,424,14472,-443,-649,12,rest
1391,1356,756,15836,-1547,-365,479,rest
1435,1364,464,15288,483,-264,-111,rest
1477,892,776,15072,242,-692,-472,rest
1519,636,748,14920,167,211,-24,rest
1559,1288,448,15332,39,-138,74,rest
1598,792,976,14712,47,-564,-17,rest
1638,1148,768,14976,66,-402,115,rest
1678,1724,412,15072,153,-253,-11,rest
1720,1648,440,15140,-25,-27,-520,rest
1762,1400,572,15904,-119,-194,-1081,rest
1806,924,756,15056,508,-336,-403,rest
1848,740,776,15188,363,-96,-455,rest
1888,792,804,14664,273,-345,-262,rest
1930,972,652,15224,207,-90,-165,rest
1971,1372,732,15044,324,-806,-359,rest
2013,1416,556,14928,90,164,-340,rest
2054,1476,348,15676,209,-590,-200,rest
2097,1392,328,15248,395,-42,-852,rest
2138,312,1096,14756,183,-328,-523,rest
2181,956,520,14996,229,24,68,rest
2217,1104,724,15332,776,282,-343,rest
2259,1008,620,14928,484,-299,-133,rest
2302,1232,540,14960,154,-61,-258,rest
2343,1444,372,15016,437,57,-414,rest
2384,752,896,15124,216,-199,-454,rest
2426,552,860,14432,-87,-438,-39,rest
2466,744,796,15536,44,195,58,rest
2504,1344,412,15332,70,-398,-14,rest
2544,764,872,15380,338,-307,-90,rest
2585,1368,524,15088,356,-309,18,rest
2626,1004,964,15252,267,-335,-252,rest
2668,1096,648,14788,77,-246,92,rest
2708,1296,656,14800,-174,-140,-33,rest
2750,904,596,14932,78,99,-279,rest
2789,696,628,15344,206,-242,-21,rest
2830,1076,676,14888,2,-349,-44,rest
2869,1144,836,15580,241,-221,-103,rest
