time,ax,ay,az,gx,gy,gz,target
5,1900,1640,14592,-120,-366,-145,rest
18,1788,1664,14704,-179,-144,-257,rest
33,1648,1756,15288,-63,-142,-231,rest
74,1692,1648,15416,228,-434,97,rest
114,1836,1416,15220,386,-482,278,rest
155,2084,1412,15516,169,-595,-74,rest
197,1672,1452,14912,296,-854,269,rest
239,2360,1360,14972,89,-942,104,rest
279,2696,1252,14416,-108,-670,-49,rest
322,2292,1336,15500,293,-437,-205,rest
365,2516,1364,15412,529,-1141,-69,rest
407,2708,1404,14664,732,-1150,-273,rest
451,3236,1092,14636,640,-678,-611,rest
494,2988,1168,14144,162,-568,-1273,rest
537,1744,1384,14728,315,643,-1207,rest
580,1548,1520,14336,161,1684,-781,rest
622,1120,1956,15216,562,2049,-246,rest
665,1048,2232,14956,1878,4703,1001,rest
709,2292,1404,16464,899,-909,712,rest
750,1636,1676,15160,1145,-1281,-43,rest
794,1012,2044,15800,1783,170,333,rest
836,1912,1864,15004,1002,-2355,303,rest
879,1664,2204,14584,769,-513,55,rest
920,2040,2064,15024,591,-472,318,rest
962,2592,1876,15408,79,-897,-379,rest
1003,2112,2276,14828,255,-110,-1169,rest
1048,1892,2404,14948,545,-68,-326,rest
1091,2560,1936,14432,110,11,-1280,rest
1133,704,2800,15288,471,-217,-508,rest
1176,1912,2088,14504,96,-283,-761,rest
1218,908,2780,15032,207,208,-445,rest
1260,1708,2228,15016,41,-661,10,rest
1301,1844,2368,15080,-45,-795,-196,rest
1344,2004,2128,14640,183,-244,-391,rest
1388,1752,2328,15000,-9,-581,-371,rest
1431,2056,2224,14572,-131,-275,-392,rest
1475,2112,1916,15212,-257,187,-634,rest
1519,1660,2112,14460,-412,-792,-685,rest
1564,1804,1872,14840,-557,613,-769,rest
1607,1584,1880,15324,-417,-157,-369,rest
1652,1452,1872,15324,-201,-37,-303,rest
1696,1448,1996,15448,29,-298,56,rest
1736,1612,2096,15096,242,-800,205,rest
1779,1972,1644,15376,359,33,341,rest
1819,1892,1972,14856,640,-959,274,rest
1862,2168,1748,14472,205,31,44,rest
1902,1608,2008,15044,310,-413,61,rest
1943,2244,1628,14788,103,-307,15,rest
1985,1836,1916,15196,242,-288,-250,rest
2029,1656,1912,15128,258,-465,-43,rest
