time,ax,ay,az,gx,gy,gz,target
5,3712,888,14460,461,-286,-10,rest
17,4024,788,14780,349,-435,-120,rest
30,4060,824,14504,388,-455,-329,rest
68,3304,1336,14568,145,-460,98,rest
108,4304,808,14732,109,-105,-149,rest
149,3712,1084,15220,369,-663,-272,rest
192,3576,1076,14832,271,-482,-58,rest
234,3936,948,15028,406,-435,44,rest
273,4164,828,14556,403,-324,-98,rest
314,4064,1040,14824,226,-488,-190,rest
356,4348,868,14172,63,-98,-555,rest
396,3556,1208,15072,79,-268,-397,rest
438,3972,936,14848,35,-181,-149,rest
478,3940,932,14940,145,-237,-637,rest
520,3848,964,14888,460,-227,-240,rest
562,4080,864,15012,251,-583,-361,rest
603,3692,1216,15048,343,-319,-220,rest
646,4220,948,14780,274,-203,-69,rest
686,3920,1024,14932,229,-323,-451,rest
729,3808,1264,14524,208,-515,-33,rest
771,4212,908,14788,69,-89,-329,rest
809,3936,1108,14880,156,-440,-384,rest
852,3672,1140,14340,-142,96,-102,rest
894,4212,1008,15232,151,-448,-230,rest
936,3900,956,14656,213,-321,115,rest
977,4332,892,14932,254,-211,-355,rest
1018,3744,1016,14856,310,-462,-222,rest
1062,3728,1100,14816,140,-287,-121,rest
1106,4160,884,14956,304,-144,-200,rest
1148,3828,1020,14652,330,-405,-158,rest
1192,4088,956,14760,137,-175,-77,rest
1234,3904,1092,14828,122,-460,-342,rest
1277,4136,1112,15108,156,-144,-107,rest
1321,4036,1104,14956,224,-194,-291,rest
1366,4300,1100,14700,175,-559,-235,rest
1409,3888,1080,15032,131,-93,-268,rest
1452,3880,980,14712,312,-216,-432,rest
1495,3608,1152,14672,251,-217,-37,rest
1537,3892,1028,14924,223,-200,-66,rest
1580,4324,912,14724,182,-239,-195,rest
1622,4120,1056,14824,179,-313,-224,rest
1666,3832,1164,14196,13,-52,-288,rest
1708,3940,1112,14884,132,-369,-116,rest
1751,4072,1128,14664,59,-87,-378,rest
1793,3976,1068,15012,172,-272,-188,rest
1837,3888,1132,14508,304,-198,-184,rest
1880,4040,984,15288,340,-106,-228,rest
1923,3868,1032,14828,194,-244,-267,rest
1967,3876,1032,14724,180,-365,-165,rest
2010,4072,888,14512,295,-514,-208,rest
2053,3968,968,14648,142,-162,-155,rest
2096,3848,1140,14724,226,-478,-125,rest
2139,3824,1056,14660,58,-49,-118,rest
2181,4028,1032,15212,208,-252,-154,rest
2225,4052,996,14792,180,-422,-114,rest
2267,3932,964,14740,216,-124,-266,rest
2310,4068,1060,14540,261,-191,-188,rest
2353,3800,1180,14584,187,-264,-224,rest
2397,4116,1052,14916,153,-297,-210,rest
2441,3900,1048,14592,251,-338,-235,rest
2484,4292,936,14572,123,-48,-228,rest
2526,3972,1120,14444,196,-294,-284,rest
2570,3824,1032,14632,244,-237,-336,rest
2613,3928,1108,14780,240,-197,-320,rest
2657,3948,1052,14968,331,-457,-112,rest
2701,3808,1016,14708,336,-146,-199,rest
2744,3680,1072,14588,336,-542,17,rest
2786,4256,1092,14720,142,-243,-127,rest
2830,3928,1092,15260,228,-321,-157,rest
2873,4372,908,14840,104,-288,-58,rest
2915,3904,1168,15072,246,-275,-253,rest
2959,4052,1128,14812,249,-241,-214,rest
3002,3924,1116,14632,177,-224,-172,rest
3046,3972,1224,14956,234,-513,15,rest
3088,4264,992,14536,227,-189,-262,rest
3130,3868,1156,14904,184,-321,-332,rest
3174,3952,1044,14812,150,-211,-236,rest
3217,3944,924,14724,211,-47,-306,rest
3259,3764,1168,14580,137,-410,-191,rest
3303,3908,1228,14608,-71,-289,-170,rest
3346,3404,1144,14696,36,-214,-212,circ
3389,3104,952,14524,19,-353,387,circ
3430,2604,980,15392,18,-479,762,circ
3470,1824,1072,15176,351,-282,1432,circ
3514,1268,1392,15288,734,-313,3211,circ
3558,3008,576,14752,1060,-859,4322,circ
3601,3884,756,15764,1217,-720,4250,circ
