time,ax,ay,az,gx,gy,gz,target
5,2144,1148,15308,103,-601,-424,rest
18,1944,1296,15144,204,-509,-330,rest
31,2052,1184,15000,198,-440,-181,rest
72,2352,952,15216,164,-224,-329,rest
113,2036,1076,15056,132,-325,-383,rest
155,2128,880,15284,180,-136,-314,rest
197,2180,892,15236,387,-527,-360,rest
239,2096,912,15072,353,-424,-443,rest
280,1904,996,14780,209,-287,-391,rest
322,1856,1084,15032,225,-176,-129,rest
365,2040,1008,15116,209,-427,-2,rest
405,2080,1024,15204,405,-414,-39,rest
447,2340,936,15044,407,-554,-100,rest
488,2144,1228,15136,410,-468,-193,rest
531,2348,1048,14888,354,-393,-78,rest
573,2332,1112,14832,251,-257,-289,rest
615,2056,1224,14868,266,-495,-163,rest
658,2248,1296,15064,254,-335,-205,rest
701,2344,1256,14972,257,-328,-118,rest
743,2372,1092,15020,341,-309,-322,rest
786,1944,1224,15016,321,-426,-99,rest
828,2344,1076,14928,247,-362,-74,rest
869,2188,1208,14816,163,-320,-113,rest
912,2404,1008,15360,316,-320,-95,rest
953,2672,1164,14956,514,-667,-397,rest
996,2224,1320,15236,509,-227,-415,rest
1039,2156,1180,15168,899,-397,-267,rest
1082,2192,1224,14708,653,-384,-166,rest
1126,2228,1304,15100,500,-619,-82,rest
1169,2636,1316,14460,579,-771,-16,rest
1211,2564,1588,14864,284,-636,-148,rest
1255,2724,1204,14892,246,-570,-120,rest
1299,2752,1380,14768,43,-192,-381,rest
1341,2380,1208,15164,-100,165,-600,rest
1385,2088,1480,15392,165,65,-230,rest
1427,2324,1244,15124,316,-57,23,rest
1467,2708,1096,15324,341,-298,-225,rest
1511,2292,1364,15076,445,-211,-252,rest
1554,2496,1224,14636,384,-218,-200,rest
1598,2292,1344,14792,232,113,-288,rest
1641,2288,1288,15116,231,-279,-312,rest
1684,2356,1412,15224,223,-455,-41,rest
1727,2640,1352,15160,605,-606,-167,rest
1771,2356,1356,15196,572,-135,-388,rest
1814,2372,1592,14824,197,-358,-193,rest
1858,2224,1588,15292,290,232,-401,rest
1901,2120,1572,15360,541,-45,59,rest
1941,2656,1396,15192,448,37,-95,rest
1982,2364,1428,14660,446,-448,-67,rest
2025,2412,1376,14864,272,112,-154,rest
2067,2368,1440,14760,342,-231,-234,rest
2111,2312,1532,15036,232,0,-133,rest
2151,2316,1556,15024,134,-116,-176,rest
2195,2588,1364,15148,232,-184,-420,rest
2239,1964,1636,14572,106,44,-463,rest
2280,2032,1668,15092,68,-215,-51,rest
2322,2268,1468,14864,88,84,-58,rest
2362,2184,1644,15300,304,86,157,rest
2402,2596,1296,15028,270,-318,-60,rest
2445,2300,1476,14992,315,-381,-209,rest
2489,2620,1336,14600,47,-58,-561,rest
2530,2124,1580,14708,-77,-160,-637,rest
2574,1972,1560,15136,-209,186,-601,rest
2617,1800,1584,15544,207,-196,-257,rest
2661,2204,1472,14832,265,-353,-52,rest
2704,2092,1388,15108,188,-137,-157,rest
2747,1864,1564,15004,333,-403,85,rest
2789,2364,1292,14788,25,-194,-23,rest
2831,2016,1456,15316,311,-254,-157,rest
2874,2964,776,14328,113,-566,-240,rest
2917,2240,1400,15088,-225,-124,-989,rest
2962,1360,1828,15088,76,-249,-160,rest
3004,1824,1772,15256,204,-352,98,rest
3046,2140,1688,14704,306,-715,418,rest
3089,2764,1252,14880,188,-207,58,rest
3130,2440,1400,15260,152,-433,-172,rest
3174,2440,1316,15196,206,-304,-453,rest
3217,1832,1620,14980,234,-182,-431,rest
3261,2104,1524,15036,406,-445,-108,rest
3305,2236,1428,14568,200,-284,-103,rest
3348,2184,1384,15136,117,-168,2,rest
3389,2488,1204,14936,148,-243,-192,rest
3433,1960,1576,15156,72,-261,-299,rest
3475,2128,1640,15044,157,-467,-97,rest
3518,2124,1412,15376,211,-125,-289,rest
3562,2164,1700,15068,555,-1103,190,rest
3605,2812,1216,14020,80,47,-38,rest
3645,2432,1300,15084,37,-689,-136,rest
3688,2512,1312,14772,-17,-166,-285,rest
3731,2220,1448,15336,122,-403,-409,rest
3775,2096,1396,15248,172,-376,-197,rest
3818,2328,1244,15376,216,-233,-112,rest
3862,2120,1332,15428,341,-254,-186,rest
3906,2180,1400,14736,388,-294,-195,rest
3949,2244,1280,14988,185,46,-268,rest
3991,2044,1464,15184,105,-211,-148,rest
4035,2068,1300,14648,-31,-52,-303,rest
4077,1908,1664,15552,37,-714,139,rest
4119,2724,1164,14652,334,-746,159,rest
