time,ax,ay,az,gx,gy,gz,target
5,-260,1532,15568,113,-719,-369,rest
17,132,1176,15172,305,-536,-172,rest
30,572,780,14916,326,-215,-300,rest
69,28,1184,15460,-69,-681,-807,rest
109,-240,1560,15212,419,-383,-83,rest
150,588,1000,15184,366,-527,8,rest
189,508,1128,15252,393,-539,-287,rest
231,428,1176,14636,372,-178,-73,rest
271,664,1060,15132,462,-221,-369,rest
313,252,1328,14952,238,-187,-175,rest
354,380,1108,15212,-34,-347,-258,rest
396,144,1388,15200,209,-427,-170,rest
438,868,876,15156,-133,-653,8,rest
476,376,1144,15172,51,-382,-330,rest
517,96,1440,15308,140,21,-265,rest
555,260,1108,15228,212,-159,99,rest
594,576,1140,15568,364,-330,-217,rest
636,580,1068,14924,277,-577,-185,rest
677,768,1096,15008,521,-469,-615,rest
719,-116,1440,14476,100,-340,-294,rest
762,136,1256,15384,180,-58,-189,rest
802,356,1272,14964,390,-513,-159,rest
844,268,1268,15204,435,-122,157,rest
884,848,992,15024,1029,429,-204,rest
925,292,1224,14812,302,115,-637,rest
966,576,1408,15320,234,-400,-600,rest
1007,-552,1796,15312,806,199,-67,rest
1049,800,1008,14952,727,429,204,rest
1089,-136,1880,15388,1122,-203,-453,rest
1134,228,1552,14632,168,-1113,658,rest
1177,848,1024,15176,-106,-1323,-541,rest
1221,16,2064,15888,88,-2155,-868,rest
1263,1696,1204,13540,-654,-521,-599,rest
1308,488,1168,14960,-109,-111,-173,rest
1351,-600,1776,15064,121,669,1233,rest
1394,516,1148,15720,38,-571,531,rest
1435,796,1248,15076,-23,-1196,226,rest
1477,1160,560,13568,259,530,212,rest
1518,2012,412,14968,-1121,-1395,-117,rest
1564,416,1700,15048,-456,251,-860,rest
1606,84,1472,15092,-1144,1291,-211,rest
1650,-80,1264,14736,-1626,-1674,-78,rest
1695,452,1024,15656,-872,-1531,-507,rest
1739,552,696,14740,208,-351,-94,rest
1780,1064,472,15164,-141,-214,-617,rest
1824,724,712,14592,210,-183,-246,rest
1865,584,480,15948,1035,732,-810,rest
1907,920,724,15136,-40,-463,-666,rest
1948,132,1228,15612,1225,873,-282,rest
1991,64,1268,15056,1615,1068,-198,rest
2034,488,1072,14984,349,-593,-452,rest
2076,280,1304,15264,850,-155,210,rest
2118,900,836,14980,687,26,-56,rest
2157,636,1036,15308,320,-305,-549,rest
2199,408,1060,15184,393,-389,-434,rest
2242,308,1028,14980,360,-204,-164,rest
2284,240,1124,14840,445,-597,-107,rest
2327,520,900,14916,139,-160,-119,rest
2369,372,1316,14636,159,-631,-99,rest
2410,260,1516,14944,94,186,63,rest
2449,860,984,15232,4,-386,133,rest
2487,584,1300,15476,360,-13,85,rest
2527,1080,988,15320,279,-704,-103,rest
2570,612,1192,14736,241,-52,-604,rest
2611,132,1288,14672,267,-277,-221,rest
2654,572,1272,15476,44,-433,-283,rest
2696,404,1120,14880,375,-395,-153,rest
2738,696,1140,15152,78,-324,-352,rest
2780,392,1248,14920,61,-160,-399,rest
2822,648,956,15164,123,-491,-52,rest
2862,504,940,14996,382,92,-533,rest
2902,-108,1252,15196,208,-373,-110,rest
2945,964,880,14892,134,-108,25,rest
2984,124,1376,15068,158,-469,42,rest
3025,1176,844,14968,26,-131,-78,rest
3065,488,1164,15448,84,-340,-135,rest
3107,468,1228,15276,237,-117,29,rest
3147,492,1100,14916,177,-243,-116,rest
3190,232,1360,15464,228,190,13,rest
3230,664,1140,14992,60,-69,190,rest
3269,568,1048,15564,184,-248,-209,rev_circ
3312,352,1292,14844,311,-371,231,rev_circ
3354,1216,964,14464,122,-327,150,rev_circ
3395,1120,1508,14544,-333,-1020,386,rev_circ
3440,3856,1404,15080,-862,-1489,1298,rev_circ
3485,6432,796,13968,-971,-1884,-624,rev_circ
3530,5304,636,18704,-1144,-1103,-1931,rev_circ
3577,5444,216,18984,787,-5705,-4178,rev_circ
3622,4288,1460,14392,-757,-3821,-6025,rev_circ
3668,2864,760,17488,443,-1995,-7306,rev_circ
3714,1728,364,19224,1098,-631,-7758,rev_circ
3759,152,400,20488,2765,-2175,-7472,rev_circ
3803,-2076,1492,18616,5397,-2478,-8018,rev_circ
3851,-3660,2176,16996,6179,-580,-4435,rev_circ
3898,-4660,2232,19976,9634,761,-3071,rev_circ
3943,-3856,1248,14272,10724,4086,-514,rev_circ
3990,-4912,2336,12208,9517,5571,1269,rev_circ
4036,-5732,3320,10680,8851,3900,6505,rev_circ
4081,-760,1704,8128,6348,7143,6890,rev_circ
4125,-4320,5328,7748,3922,6018,5632,rev_circ
4170,-660,2796,4748,1263,4829,11488,rev_circ
4214,2308,1524,5436,-4004,4638,6315,rev_circ
4259,-3220,5924,8248,-5028,5312,10590,rev_circ
4306,4584,1788,9504,-7246,4765,9631,rev_circ
4350,-964,4328,11524,-11681,-152,9621,rev_circ
4398,9272,-940,15124,-9945,4324,10547,rev_circ
4445,8680,972,20316,-10370,-3129,2031,rev_circ
4492,11104,-276,20404,-7450,-860,2065,rev_circ
4538,9504,1092,23924,-4912,-3996,-4980,rev_circ
4586,6500,1840,19532,-1666,-3664,-6492,rev_circ
4634,3840,2524,21440,-1134,-2603,-8575,rev_circ
