time,ax,ay,az,gx,gy,gz,target
5,1820,1668,15404,86,-453,-310,rest
17,1764,1788,15404,108,-744,-375,rest
30,1560,1868,15064,155,-662,-360,rest
71,1436,1948,15092,160,-212,-147,rest
113,1716,1780,14972,338,-597,228,rest
154,2240,1644,15244,132,-652,-314,rest
197,1788,1820,14712,110,-263,-273,rest
240,1744,1780,15352,255,-537,-362,rest
282,1804,1808,14748,242,-235,-258,rest
325,1568,1840,15092,279,-281,-129,rest
368,2208,1676,14948,163,-307,-127,rest
410,1916,1796,15436,302,-164,-188,rest
453,1912,1852,14652,420,-373,-147,rest
496,2340,1704,15088,182,-182,-332,rest
538,1592,2048,14624,17,-318,-358,rest
580,1696,1772,14968,106,-157,-61,rest
621,1968,1588,15176,28,-328,-203,rest
663,1784,1812,15384,272,-420,-86,rest
705,1904,1792,15044,163,-430,-209,rest
747,1968,1744,14844,139,-938,-118,rest
790,2232,1676,15292,163,-167,-128,rest
833,1932,1676,14988,321,-418,-390,rest
875,1904,1668,14952,210,-187,-281,rest
918,1816,1984,15012,124,-26,-162,rest
960,2012,1704,15344,215,-295,-133,rest
1002,2020,1804,15052,306,-278,-142,rest
1046,2084,1616,15212,317,-296,-139,rest
1089,2236,1736,14752,306,-92,-399,rest
1132,1604,1932,15092,325,-365,-131,rest
1176,1992,1796,14700,244,-85,-67,rest
1217,2092,1700,15188,264,-318,-151,rest
1261,1920,1700,15044,157,-226,-63,rest
1304,1884,1892,14876,218,-283,-56,rest
1346,2116,1820,15300,268,-90,-134,rest
1389,2160,1852,15024,619,-155,-421,rest
1433,1732,1944,14992,421,-152,-13,rest
1475,2024,1872,14936,297,-554,-417,rest
1519,1876,2012,14728,237,-176,-63,rest
1562,1808,1848,15180,169,-350,-91,rest
1604,2136,1764,14792,203,-219,-349,rest
1648,1868,1820,14800,73,-533,-383,rest
1691,2088,1708,15064,-195,-555,-378,rest
1735,1756,1828,14988,-58,-488,-266,rest
1779,1540,2048,14952,397,-364,-66,rest
1821,2044,1704,14632,233,-24,307,rest
1863,2140,1732,15412,370,-486,68,rest
1905,2124,1832,15092,319,-136,31,rest
1946,2052,1708,15088,340,-257,-33,rest
1989,2048,1976,15036,267,-293,-105,rest
2033,1924,1920,15084,251,-396,-115,rest
2076,2360,1672,14620,282,-587,-197,rest
2120,1908,1892,15080,260,-302,-416,rest
2164,1988,1856,14684,338,152,-457,rest
2206,1964,2148,15240,169,-284,-466,rest
2250,1840,1848,15348,-58,-432,-282,rest
2294,2164,1768,15196,94,-139,-421,rest
2336,1768,2012,15228,179,-568,-321,rest
2380,2004,1736,15160,306,-243,-101,rest
2424,2148,1804,14772,420,-264,-131,rest
2467,1932,1984,14908,321,-327,-240,rest
2511,2396,1740,14544,188,-34,-127,rest
2553,2124,1856,14748,108,-649,-330,rest
2597,1964,1836,15156,-15,47,-257,rest
2639,1760,2020,15084,164,-551,-271,rest
2682,2128,1792,15216,153,-88,-138,rest
2725,1884,1816,14772,294,-429,30,rest
2767,2440,1600,14780,186,-148,-385,rest
2810,1828,1764,15056,194,-359,-475,rest
2854,1852,1788,14752,94,-163,-221,rest
2897,1688,1932,15344,206,-350,-152,rest
2940,1852,1844,14692,308,-192,179,rest
2983,2016,1812,15312,382,-339,105,rest
3026,2568,1584,14764,209,-6,27,rest
3065,2188,1900,15060,192,-308,-192,rest
3109,1972,1904,15040,30,20,-171,rest
3149,1812,2084,15068,234,-222,-43,rest
3192,2088,1868,14520,247,-322,94,rest
3234,1844,1988,15224,233,-475,301,rest
3276,2556,1604,14904,218,-281,-11,rest
3319,2596,1716,15136,121,-280,-307,stab
3363,2248,1436,14888,-3,-268,-422,stab
3405,2112,1524,15024,77,-496,-595,stab
3448,1904,2412,14308,-119,-942,-502,stab
3493,4888,8500,15728,-1820,-3274,-2530,stab
3540,-644,15928,22096,2715,-1066,-100,stab
3588,7252,10480,14624,6597,-6617,-753,stab
3635,-864,12576,9920,3390,1314,-5697,stab
3680,-6648,11928,12248,713,997,2202,stab
3725,-708,1984,6688,-840,-5997,8539,stab
3770,2428,-5056,8728,-7562,-5687,11790,stab
3817,2488,-9052,12164,-5614,8634,14611,stab
3865,3684,-11740,20256,-8903,11315,8855,stab
3914,1692,-9556,23460,-3343,518,7819,stab
3960,6688,-8000,20656,1364,-4712,958,stab
4005,3576,-6948,15588,5235,-7429,-2685,stab
4054,3132,-6248,8644,4709,-2739,-5350,stab
4101,756,-5864,12656,284,4036,-9786,stab
4145,-2828,-1648,14780,228,-1130,-4144,stab
4193,4872,-7824,14468,-377,2273,-3272,stab
4240,1928,-796,20720,4508,-7136,-5613,stab
4287,5592,-1336,10252,1961,-870,-5383,stab
4333,1076,3884,18848,1315,116,-621,stab
4377,6072,532,13788,2621,-388,-1690,stab
4422,2064,5252,14432,935,197,-4764,stab
4465,276,6668,10044,656,4249,-904,stab
4508,2120,7284,15256,-2430,3734,339,stab
4553,3880,6192,17296,193,2427,3812,stab
4596,4160,5696,15636,312,2076,45,stab
4638,480,6940,14984,714,4563,-493,stab
4680,1576,5544,15168,1263,2576,1034,stab
4725,2248,4604,13348,1028,-730,540,stab
4769,1812,2692,15316,527,337,2059,stab
4811,4392,1520,15576,233,-994,-481,stab
4855,1956,2996,12460,1108,-127,-1692,rest
4901,1304,2828,14300,217,-248,-22,rest
4943,2124,2036,14364,-462,-1436,-501,rest
4989,1308,2024,14664,107,-147,135,rest
5032,2556,1460,15684,-170,-448,-771,rest
5076,952,2220,15436,272,-1033,-732,rest
5121,1468,1904,15244,138,-433,-559,rest
5165,1512,1964,15444,231,-1224,-518,rest
5209,1672,1884,14952,434,-250,-329,rest
5253,1868,1728,14952,278,2,-583,rest
5294,1896,1916,15512,537,-219,-622,rest
