time,ax,ay,az,gx,gy,gz,target
5,1352,-252,14928,182,-395,-96,rest
17,1352,-168,15120,181,-394,-176,rest
30,1156,-224,15000,221,-292,-193,rest
71,1168,-292,14980,202,-307,-106,rest
113,1408,-332,15024,91,-273,-56,rest
153,1276,-260,15040,-2,-366,-134,rest
195,1384,-264,15116,-63,-547,18,rest
236,1416,-336,14864,-43,-520,-52,rest
277,1380,-236,14840,230,-40,39,rest
317,1212,-328,15032,366,-62,-149,rest
359,1312,-308,15168,329,179,-188,rest
400,1232,-556,14756,150,-175,-271,rest
443,1316,-316,14812,161,-183,-229,rest
485,1468,-332,15208,212,-94,-149,rest
527,1124,-408,15104,155,-220,-291,rest
570,1496,-372,15036,231,-179,81,rest
610,1324,-352,15148,200,-238,-142,rest
653,1224,-264,15200,49,-221,-114,rest
695,1204,-476,14920,192,-66,-34,rest
735,1220,-412,15032,130,-162,-162,rest
778,1336,-304,14964,119,-489,-217,rest
820,1228,-364,14844,102,-242,-121,rest
863,1208,-204,14972,286,-265,49,rest
904,1348,-360,15036,136,-147,-124,rest
946,1288,-424,14884,188,-156,121,rest
988,1352,-304,15040,256,-251,-3,rest
1029,1124,-328,15000,293,-99,-133,rest
1071,1160,-436,15184,147,-327,-165,rest
1115,1228,-248,15024,109,-210,-378,rest
1159,1336,-452,14964,282,-250,-180,rest
1202,1380,-372,15024,245,-220,-83,rest
1245,1320,-432,14992,316,-170,15,rest
1286,1344,-264,15200,210,-98,-172,rest
1329,1224,-332,15132,108,-310,-161,rest
1373,1192,-264,15136,108,-234,-16,rest
1415,1272,-388,14840,195,-267,-214,rest
1459,1240,-436,15076,172,-279,-35,rest
1502,1124,-236,15036,269,-334,-294,rest
1545,1176,-328,14988,301,-84,-178,rest
1588,1344,-208,15140,212,-316,-211,rest
1632,1220,-400,15044,107,-228,-330,rest
1675,1312,-336,14920,122,-300,2,rest
1716,1324,-96,15048,295,-322,-151,rest
1759,1136,-416,15240,220,-202,-205,rest
1802,1212,-216,14912,147,-277,-48,rest
1845,1344,-168,14960,207,-267,-164,rest
1888,1284,-320,14884,179,-475,-56,rest
1931,1240,-248,14912,155,-441,-137,rest
1975,1400,-304,14860,196,-108,-48,rest
2017,1292,-340,14972,196,-335,-197,rest
2061,1208,-304,15048,135,-257,-96,rest
2104,1388,-320,15000,169,-288,-249,rest
2147,1460,-268,15124,118,-176,-206,rest
2191,1264,-332,14840,184,-203,-64,rest
2234,1332,-256,14992,176,-258,-253,rest
2277,1284,-280,15200,233,-308,-62,rest
2320,1392,-284,15120,193,-314,-234,rest
2364,1340,-300,15008,213,-263,-67,rest
2406,1248,-308,14948,195,-218,-122,rest
2450,1300,-300,14980,266,-343,-222,rest
2494,1288,-268,15036,145,-222,-189,rest
2537,1364,-296,15016,207,-221,-298,rest
2581,1380,-316,14956,196,-235,-140,rest
2625,1468,-228,15084,255,-284,-178,rest
2668,1388,-244,15088,202,-56,-7,rest
2709,1308,-228,15168,124,-314,-160,rest
2752,1228,-316,15148,109,-244,-76,rest
2795,1336,-396,14912,140,-259,-231,rest
2839,1372,-396,14796,246,-60,-80,rest
2880,1272,-272,14908,172,-335,-234,rest
2924,1348,-384,15020,162,-322,-87,rest
2967,1384,-280,14908,-26,-154,-220,rest
3010,1236,-352,15084,89,-352,-184,rest
3053,1384,-348,15044,138,-257,-65,rest
3096,1332,-248,15140,219,-62,-157,rest
3138,1304,-340,14808,240,-286,-6,rest
3180,1248,-244,15080,295,-126,-288,rest
3224,1316,-512,15140,218,-206,-74,rest
3266,1492,-208,15032,148,-219,-251,rest
3310,1236,-252,14968,125,-381,-234,rest
3354,1412,-380,15004,193,-250,125,rest
3396,1236,-212,14928,156,133,-267,rest
3439,1136,-240,15128,150,-516,-279,rest
3482,1384,-332,14868,221,-187,-160,rest
3526,1536,-284,15040,190,-207,-310,rest
3570,1400,-200,15140,260,-348,-42,rest
3612,1248,-156,15168,49,-98,-165,rest
3654,1304,-416,15108,-14,-416,-207,rest
3698,1384,-256,14816,151,11,-117,rest
3739,1236,-212,15008,376,-262,-365,rest
3783,1332,-436,15224,174,-84,-32,rest
3825,1352,-192,14932,212,-132,-249,rest
3868,1316,-288,15180,238,-369,-174,rest
3912,1392,-328,15060,202,-72,-108,rest
3955,1292,-264,15020,112,-169,-512,rest
3998,1340,-400,14876,109,-344,-190,rest
4042,1468,-356,14904,206,-149,-41,rest
4084,1340,-268,14900,212,-220,-384,rest
4128,1276,-328,14868,510,-84,281,rest
4170,1384,-48,15240,420,-379,-173,circ
4212,1148,-316,15152,301,-235,-155,circ
4256,1296,-80,15216,219,-200,-252,circ
4299,2312,-12,15224,229,-335,-293,circ
4341,3820,-256,15492,-367,316,1706,circ
4385,2700,-484,15232,-408,834,4833,circ
4429,436,276,14972,-650,-599,4544,circ
4471,-108,-680,15160,-1075,-2837,3462,circ
4518,316,-460,15472,-1209,-4902,3497,circ
4564,1668,-808,14364,-296,-7893,2057,circ
4610,2136,-812,14936,-27,-3586,3185,circ
4655,2476,-960,16736,-523,-653,4729,circ
